"index","word","meaning","meaning2","note","category"
"1241","어머니 생신이라서 고향에 가야 돼요.","It's my mother's birthday and I have to go home.","","","dif4"
"1242","여자들은 꽃을 좋아하니까 꽃을 선물하세요.","Girls like flowers, so give her some flowers.","","","dif4"
"1243","지하철 공사 중입니다.","The subway is under construction.","","공사 - construction","dif4 formal"
"1244","지하철 공사하는 중입니다.","The subway is in the middle of being constructed.","","","dif4 formal"
"1245","지금 집에 가는 중이에요.","I'm on the way home.","","","dif4"
"1246","이사할 거예요. 그래서 집을 찾는 중이에요.","I intend to move. So I'm looking for a new place to live.","","","dif4"
"1247","- 이 신발 신어 봐도 돼요?<div>- 네, 신어 보세요.</div>","- May I try on these shoes?<div>- Yes, please try them on.</div>","","","dif4"
"1248","한국 친구를 사귀어 보고 싶어요.","I would like to make some Korean friends.","","사귀다 - to make friends","dif4"
"1249","막걸리를 마셔 봤어요?","Have you tried drinking Korean rice wine?","","","dif4"
"1250","한국 친구가 많은가요?","Do you have a lot of Korean friends?","","","dif4"
"1251","어떡해요?","What am I supposed to do?","How should we deal with this?","""This is a contraction from """"어떻게 해요?"""" and it's used when something bad or unexpected has happened and you have to decide what to do about it.""","dif4"
"1252","이제 어쩔 거예요?","How are you going to take care of it now?","Now what?","""Short from """"이제 어떡할 거예요?""""""","dif4"
"1253","유키 씨, 우리 시험 끝나고 뭐 할래요?","Yuki, what do you want to do after we finish our tests?","","","dif4"
"1254","이게 훨씬 더 좋아요.","This is much better.","","You can omit the '더' if you want.","dif4"
"1255","서울에서 도쿄까지보다 서울에서 뉴욕까지가 훨씬 더 멀어요.","From Seoul to New York is much farther away than from Seoul to Tokyo.","","","dif4"
"1256","일본어보다 한국어가 훨씬 더 쉬워요.","Korean is much easier than Japanese.","","","dif4"
"1257","훨씬 덜 비싸다","to be much less expensive","","","dif4 phrase"
"1258","날씨가 정말 좋네요.","(Oh, look,) the weather is really nice.","","","dif4"
"1259","날씨가 좋으니까 산에 갈까요?","Shall we go mountain climbing since the weather is nice?","","","dif4"
"1260","술을 마셨으니까 운전하지 마세요.","You drank liquor, so please don't drive.","","You can use the past tense before -니까","dif4"
"1261","눈 때문에 길이 미끄러워요.","The road is slippery because of the snow.","","Noun + 때문에 = because of Noun","dif4 irregular"
"1262","아이 때문에 피곤해요.","I'm tired because of the children.","","","dif4"
"1263","외국인이기 때문에 한국말을 잘 못해요.","I can't speak Korean well because I'm a foreigner.","","If you want to use '때문에' with a verb (이다 in this case), you have to change it to the noun form first.","dif4"
"1264","읽을 책","a book that (I) will read","a book to read","","dif4 phrase"
"1265","먹을 것","things to eat","food","","dif4 phrase"
"1266","내일 할 일이 많아요.","I have a lot (of work) to do tomorrow.","There is a lot of stuff that I will do tomorrow.","","dif4"
"1267","지금은 할 이야기가 없어요.","Right now, I have nothing to say.","For now, there is nothing I will say.","","dif4"
"1268","냉장고에 먹을 것이 전혀 없어요.","In the refrigerator, there isn’t any food at all.","","","dif4"
"1269","백화점이 세일 중이에요. 그래서 길이 막혀요.","The department store is having a sale. That's why there's so much traffic.","","","dif4"
"1270","김 과장님은 지금 외출 중이십니다. 오후 5시에 들어오실 겁니다.","Section Chief Kim is currently out of the office. He should be back at 5 P.M.","","","dif4 formal honorific"
"1271","요즘 운전을 배우는 중이에요. 다음 주에 운전면허 시험을 봐요.","Recently, I've been learning how to drive. I'm taking a driving test next week.","","","dif4"
"1272","여기 앉아도 돼요?","May I sit here?","Do you mind if I sit here?","","dif4"
"1273","어제 본 영화","the movie that I saw yesterday","","Remember: 보는 - present, 본 - past, 볼 - future.","dif4 phrase"
"1274","어제 온 사람들 누구예요?","Who are the people who came here yesterday?","","","dif4"
"1275","친구가 말한 카페","the cafe that a friend talked about","","","dif4 phrase"
"1276","제가 볼 책이에요.","It’s a book that I will read.","","","dif4"
"1277","어제 공부한 외국어예요.","It’s a foreign language that I studied yesterday.","","","dif4"
"1278","요즘 바쁜가요?","Are you busy these days?","","","dif4"
"1279","몇 시에 집에서 출발할 건가요?","What time will you leave your house?","","","dif4"
"1280","올해에는 담배를 꼭 끊겠습니다.","This year, I'm going to stop smoking.","","-겠- can be used to express an intention or that something will happen. In this meaning, it is usually followed by the formal style.","dif4 formal"
"1281","제가 출장을 가겠습니다.","I'll go on the business trip.","","If you are expressing someone's will or intention, the subject cannot be in the third person.","dif4 formal"
"1282","잠시 후에 인천공항에 도착하겠습니다.","We will soon arrive at Incheon Airport.","","","dif4 formal"
"1283","이거 뭐인 것 같아요?","What do you think this is?","","","dif4"
"1284","누가 한 것 같아요?","Who do you think did it?","","","dif4"
"1285","곧 도착할 것 같아요.","I think I’ll arrive soon.","","","dif4"
"1286","집에 갈 때 버스를 타요?","Do you take the bus when you go home?","","","dif4"
"1287","너무 배가 불러요. 그만 먹을래요.","I'm so full. I'm not going to eat anymore.","","그만 - without doing anything further, only this much","dif4"
"1288","예뻐지다","to become pretty","","When you add '아/어지다' to a descriptive verb, it changes the meaning to 'become [adjective]'.","dif4 phrase"
"1289","날씨가 따뜻해졌어요.","The weather has become warm.","The weather has become warmer.","따뜻해지다 - to become warm","dif4"
"1290","컴퓨터가 빨라졌어요.","The computer has become fast.","The computer has become faster.","","dif4 irregular"
"1291","한국어 공부가 재미있어졌어요.","Studying Korean has become fun.","","","dif4"
"1292","줄이 길어졌어요.","The line has become longer.","","","dif4"
"1293","내일 다시 추워질 거예요.","It will become cold again tomorrow.","","","dif4 irregular"
"1294","비 때문에 차가 많이 막혔어요.","There was a lot of traffic due to the rain.","","","dif4"
"1295","토요일은 친구 생일이기 때문에 만날 수 없어요.","Saturday is my friend's birthday, so I won't be able to meet you.","","","dif4"
"1296","백화점에 가는데 같이 갈래요?","I'm going to the department store. Do you want to join me?","","","dif4"
"1297","월요일에 시험이 있으니까 클럽에 가지 맙시다. 같이 공부합시다.","We have a test on Monday, so let's not go to a club. Let's study together.","","","dif4 formal"
"1298","10시에 출발하는 기차를 타요.","I take the train which leaves at 10:00.","","","dif4"
"1299","제 친구가 다니는 회사는 서울에 있어요.","The company my friend works for is in Seoul.","","""It would be incorrect to write """"친구는"""" in this case. If it's inside a relative clause (sometimes called a noun phrase), you have to replace the topic marking particle with the subject marking particle.""","dif4"
"1300","샐리가 보는 영화는 한국 영화예요.","The movie that Sally is watching is a Korean movie.","","","dif4"
"1301","다니엘이 읽는 책을 사고 싶어요.","I want to buy the book that Daniel is reading.","","","dif4"
"1302","정민 씨가 하는 노래를 알아요.","I know the song that Jeongmin is singing.","","","dif4"
"1303","테니스를 치는 사람이 샐리 씨예요.","The one playing tennis is Sally.","","","dif4"
"1304","내가 듣고 있는 음악은 한국 음악이에요.","The music that I'm listening to is Korean music.","","","dif4"
"1305","지금 만드는 음식은 불고기예요.","The food that I'm making now is bulgogi.","","","dif4"
"1306","다니엘하고 같이 공부하는 친구를 알아요.","I know the guy who is studying with Daniel.","","","dif4"
"1307","내가 아는 사람을 모두 초대했어요.","I invited all the people I know.","","","dif4"
"1308","내일 제가 부산에 가는데 공항에 같이 가 줄 수 있어요?","I'm going to Busan tomorrow, so can you go to the airport with me?","","","dif4"
"1309","부장님, 그럼 제가 통역을 하겠습니다.","In that case, Chief, I will interpret for you.","","","dif4 formal"
"1310","잘 모르겠어요.","I don't quite understand.","I'm not sure.","'-겠-' can also be used in some fixed expressions to soften the meaning of the sentence and make it more gentle and polite.","dif4"
"1311","운전 중에 전화하면 안 돼요.","Using the phone while driving is not allowed.","","","dif4"
"1312","오늘은 어제보다 훨씬 따뜻한 것 같아요.","I think today is much warmer than yesterday.","","","dif4"
"1313","지금 카페에서 어제 산 책을 읽고 있어요.","Right now I am in a cafe, reading a book that I bought yesterday.","","","dif4"
"1314","네, 안 갈래요. 피곤해서 집에서 쉴래요.","No, I'm not going. I'm tired so I plan on resting at home.","","","dif4"
"1315","군인은 나라를 위해서 일하는 사람입니다.","Soldiers are people who work for their country.","","군인 - soldiers","dif4"
"1316","훌륭한 스케이트 선수가 되기 위해 열심히 연습을 합니다.","I practice hard to become a great skater.","","선수 - athlete","dif4"
"1317","학교 옆에 '만나식당'이 괜찮은데 거기 한번 가 보세요.","The restaurant Manna right next to school is pretty good, so I suggest you go there.","","","dif4"
"1318","사려고 하다","to be about to buy something","to be intending to buy it","'-(으)려고 하다' shows either your intention or plan or that something is about to happen","dif4"
"1319","비가 오려고 해요.","It is about to rain, judging from what I see.","","Note: this form is rarely used like this in the plain present tense. People would usually say '비가 올 것 같아요' instead. But it is used often in other forms.","dif4"
"1320","어제 친구 만나려고 했는데, 못 만났어요.","I wanted to meet a friend yesterday, but I couldn’t meet her.","I was planning to meet a friend yesterday, but I couldn’t meet her.","","dif4"
"1321","카메라 사려고 하는데 뭐가 좋아요?","I’m planning to buy a camera. Which one is good?","","","dif4"
"1322","친구가 울려고 해요.","My friend is about to cry.","","","dif4"
"1323","아이스크림이 녹으려고 해요.","The ice cream is about to melt.","","녹다 - to melt","dif4"
"1324","와, 맛있겠어요.","Wow, that looks delicious.","","'-겠-' is also used to say how something looks or appears.","dif4"
"1325","저 포스터를 보세요. 재미있겠어요!","Look at that poster. It looks interesting!","","","dif4"
"1326","시원하겠어요.","That looks refreshing.","","","dif4"
"1327","이 문법 문제를 잘 모르겠어요.","I don't understand this grammar question.","","","dif4"
"1328","이 선생님이나 김 선생님에게 물어보세요.","Please ask instructor Lee or instructor Kim.","","","dif4"
"1329","수업 시간에는 영어로 말하면 안 돼요.","During class, you may not speak in English.","","","dif4"
"1330","한국에서는 밥을 먹을 때 코를 풀면 안 돼요.","In Korea, you're not supposed to blow your nose when eating.","","","dif4"
"1331","도서관에서 얘기하면 안 돼요.","You're not allowed to talk in the library.","","","dif4"
"1332","캐럴 씨가 오늘 나올까요?","Will Carol show up today?","","","dif4"
"1333","댄 씨가 이 책을 읽었을까요?","Do you think Dane has read this book?","","","dif4"
"1334","정민 씨는 지금 어디에 있을까요?","Where do you think Jeongmin is right now?","","","dif4"
"1335","극장에 사람이 많을까요?","Do you think there will be many people at the movie theater?","","","dif4"
"1336","누가 정민 씨 전화번호를 알까요?","Who do you think knows Jeongmin's phone number?","","","dif4"
"1337","다시 하는 거 어때요?","How about doing it again?","","","dif4"
"1338","다른 사람한테 물어보는 거 어때요?","How about asking other people?","","","dif4"
"1339","안으로 들어가는 거 어때요?","How about going inside?","","","dif4"
"1340","내일 만나서 이야기하는 거 어때요?","How about meeting and talking about it tomorrow?","","","dif4"
"1341","이렇게 하는 게 어때요?","How about doing it this way?","","This sentence contains the subject marking particle: -는 것이 → -는 게","dif4"
"1342","반갑습니다. 회사를 위해서 열심히 일해 주십시오.","Pleased to meet you. I trust you'll work hard for the company.","","","dif4 formal"
"1343","아파트 산 것을 축하합니다.","Congratulations on buying an apartment.","","","dif4 formal"
"1344","이 집을 사기 위해서 우리 부부가 열심히 돈을 모았어요.","We both worked hard to save money to buy this home.","","부부 - husband and wife","dif4"
"1345","소파에서 자는 사람이 누구예요?","Who is that person sleeping on the sofa?","","","dif4"
"1346","오늘 저녁에 먹을 한국 음식이 뭐예요?","What's the Korean dish that we'll have for dinner today?","","","dif4"
"1347","명동에 어떻게 가는지 알아요?","Do you know how to get to Myeongdong?","","""'-는지' is a sentence connecting ending that is attached to action verbs. It allows to make phrases such as """"Do you know...?"""", """"Please tell me..."""", """"I will find out..."""" etc.""","dif4"
"1348","저분이 누구인지 모르겠어요.","I don't know who that person is.","","After nouns and descriptive verbs, this ending is -ㄴ지.","dif4"
"1349","어제 무엇을 했는지 생각이 안 나요.","I can't remember what I did yesterday.","","","dif4"
"1350","이거 뭔지 알아요?","Do you know what this is?","","","dif4"
"1351","뭐가 좋은지 몰라요.","I don’t know what is good.","","","dif4"
"1352","문제가 있는지 물어보세요.","Please ask them whether there is a problem.","","","dif4"
"1353","이 사람 누구인지 아세요?","Do you know who this person is?","","","dif4 honorific"
"1354","이거 괜찮은지 봐 주세요.","Please see if this is okay.","","","dif4"
"1355","뭐 사고 싶은지 말해 주세요.","Please tell me what you want to buy.","","","dif4"
"1356","내일 우리 만날 수 있는지 알고 싶어요.","I want to know whether we can meet tomorrow.","","","dif4"
"1357","내일 우리 만날 수 있는지 없는지 알고 싶어요.","I want to know whether or not we can meet tomorrow.","","""""""있는지 없는지"""" means """"whether or not""""""","dif4"
"1358","제가 왜 걱정하는지 몰라요?","Do you not know why I worry?","","","dif4"
"1359","매일이요? 힘들겠어요.","Every day? That sounds tough.","","-이요 is added just to make the first sentence polite.","dif4"
"1360","이게 요즘 제가 배우는 한국어책이에요.","This is the book I've been using to study Korean lately.","","","dif4"
"1361","회사 근처 아파트에서 살려고 해요.","We plan to live in an apartment near the company.","","","dif4"
"1362","요즘 꽃이 비쌀까요?<div>- 졸업식 때니까 비쌀 거예요.</div>","Do you think flowers are expensive these days?<div>- It's graduation time, so I think they're probably expensive.</div>","","The '-ㄹ 거예요' construction can express assumption or supposition when the speaker has a reason for thinking what he's thinking (like in this example).","dif4"
"1363","댄 씨가 일을 잘하니까 이번에 승진할 거예요.","Dane is a hard worker so I think he'll be promoted this time.","","","dif4"
"1364","이 그림은 파는 거예요?","Are you selling this picture?","","""This is an alternative way of saying """"이 그림을 팔아요?"""", the meaning is practically the same.""","dif4"
"1365","어제 간 식당이 어땠어요?","How was the restaurant that you went to yesterday?","","","dif4"
"1366","착하고 예쁜 여자를 좋아해요.","I like girls who are nice and pretty.","","If there are several adjectives before a noun, only the last adjective has the -은 ending.","dif4"
"1367","딸기잼을 만들 줄 알아요.","I know how to make strawberry jam.","","'-을 줄 알다/모르다' is a grammar pattern that expresses whether you know how to do something.","dif4"
"1368","휴대전화로 사진을 보낼 줄 알아요.","I know how to send pictures by mobile phone.","","","dif4"
"1369","된장찌개를 맛있게 끓일 줄 알아요.","I know how to cook a tasty doenjang stew.","","끓이다 - to boil, cook","dif4"
"1370","재미없는 영화를 봤어요.","I watched a boring movie.","","","dif4"
"1371","수업이 끝나고 나서 우리는 집에 갔습니다.","We went home after the class ended.","","","dif4 formal"
"1372","숙제를 다 하고 나서 책을 읽었습니다.","After finishing all my homework, I read a book.","","","dif4 formal"
"1373","지금 어떤 일을 하고 계세요?","What kind of work is he doing now?","","'-고 계시다' is the honorific version of '-고 있다'.","dif4 honorific"
"1374","친구에게 줄 선물을 사려고 해요.","I'm planning to buy a present for my friend.","","","dif4"
"1375","집에서 음악을 들으려고 해요.","I'm planning to listen to music at home.","","","dif4"
"1376","저는 제주도에 여러 번 가 봤어요.","I have been to Jeju Island several times.","","","dif4"
"1377","기타 좀 쳐 보세요.","Try to play the guitar, please.","","","dif4"
"1378","방에 있는데 공부하는지 자는지 잘 모르겠어요.","He's in his room but I don't know if he's studying or sleeping.","","","dif4"
"1379","그 사람이 일본 사람인지 아닌지 모르겠어요.","I don't know whether he is Japanese or not.","","""""""아닌지"""" comes from """"아니다"""" (to be not)""","dif4"
"1380","우산이 두 개 있는데 빌려 줄까요?","I have two umbrellas. Shall I lend you one?","","","dif4"
"1381","우리 아이가 벌써 10살이 되었어요. 세월이 참 빠르지요?","Our kid is already 10 years old. Doesn't time just fly by?","","세월 - time","dif4"
"1382","이 노래 들어 봤어요?","Have you heard this song (before)?","","","dif4"
"1383","가족이 많네요.","You certainly have a large family.","","","dif4"
"1384","책을 많이 읽었네요.","You really have read a lot of books.","","","dif4"
"1385","어차피 다시 올 거예요.","I will come back anyway.","They will come again one way or the other.","","dif4"
"1386","어차피 제가 할 수 있는 일이 아니에요.","Even if I try, it’s not something that I can do.","This is not something I can do anyway (so there's no use asking me to do it).","제가 할 수 있는 일 - something I can do. Note that you cannot say '저는' in this case, you have to use the subject marking particle after the subject in noun phrases.","dif4"
"1387","어차피 늦었으니까 천천히 와.","You'll be late anyway so take your time.","You're already late so take your time.","","casual dif4"
"1388","어차피 저도 지금 거기 가는 중이에요.","I am on my way there anyway.","","","dif4"
"1389","사진 좀 찍어 주시겠어요?","Would you please take our picture?","","This is even more polite than '찍어 주세요'.","dif4 honorific"
"1390","자리를 안내해 드리세요.","Please show her to a seat.","","안내하다 - to guide","dif4"
"1391","네, 손님, 금방 치워 드릴게요.","Okay, I'll clear it off right away.","","치우다 - to tidy up","dif4"
"1392","에어컨을 켜 주시겠어요?","Would you mind turning on the air conditioner?","","","dif4 honorific"
"1393","네, 켜 드릴게요.","Sure, I'll turn it on.","","","dif4"
"1394","7시니까 댄 씨는 벌써 퇴근했을 거예요.","I think Dane has already left work because it's 7:00.","","The '-ㄹ 거예요' ending can also be attached to the past stem if it's used to express a supposition.","dif4"
"1395","한국어 공부할 때 뭐가 제일 어려워요?","What's the most difficult part of studying Korean?","","","dif4"
"1396","사과가 한 개밖에 안 남았어요.","There's only one apple left.","","남다 - to remain","dif4"
"1397","냉장고에 우유밖에 없어요.","There's nothing but milk in the refrigerator.","","","dif4"
"1398","선물을 한 개밖에 못 받았어요.","I only received one present.","","","dif4"
"1399","이 책 어떤 것 같아요?","What do you think about this book?","","""The phrase """"어떤 것 같아요?"""" is often used in the spoken language to say """"What do you think (about something)?""""""","dif4"
"1400","물어보는 거 어떤 것 같아요?","What do you think about asking (someone)?","","","dif4"
"1401","오늘 날씨가 춥지요?<div>- 네, 정말 춥네요.</div>","Isn't it cold today?<div>- Yes, it really is cold.</div>","","The '-네요' ending can also be used when you are agreeing with someone.","dif4"
"1402","할 수는 있는데 안 하고 싶어요.","I could do it but I don't want to.","I can do it but I don't want to.","Adding '-는' after '수' changes the meaning slightly.","dif4"
"1403","할 수는 있는데 조건이 있어요.","I can do it but on one condition.","I can do it but there's a condition.","조건 - condition","dif4"
"1404","저 좀 도와주시겠어요?","Excuse me. Could you please help me?","","","dif4 honorific"
"1405","아직 친구에게 선물 안 해 줬어요.","I haven't given a present to my friend yet.","","","dif4"
"1406","어제 못 자서 그래요.","It's because I couldn't sleep last night.&nbsp;","","""'-아/어서 그래요' is used when you want to explain the reason for something. It's often an answer to a question (for example """"Why do you look so tired?"""").""","dif4"
"1407","영국에서 자라서 그래요.","Because he was brought up in England.&nbsp;","","자라다 - to grow up","dif4"
"1408","댄 씨에게 음악 CD를 주면 좋아할까요?","Do you think Dane would like it if I gave him a music CD?","","","dif4"
"1409","매일 음악을 들으면서 다니니까 좋아할 거예요.","He listens to music every day on the way to school, so I think he'd like it.","","","dif4"
"1410","왼손에 반지를 끼었으니까 결혼했을 거예요.","She has a ring on her left hand, so I think she's married.","","끼다 - to wear","dif4"
"1411","유치원생은 버스 요금을 내지 않아도 돼요.","Preschool students don't have to pay the bus fare.","","요금 - fee","dif4"
"1412","평일이니까 영화 표를 미리 사지 않아도 돼요.","Because it's a weekday, we don't have to buy tickets in advance.","","평일 - weekday","dif4"
"1413","금요일에는 정장을 입지 않아도 돼요.","On Fridays, we don't have to wear suits.","","정장 - suit","dif4"
"1414","어려워서 다섯 쪽밖에 못 읽었어요.","It was difficult so I could only read five pages.","","","dif4"
"1415","도넛 좀 드시겠어요?","Would you like a donut?","","","dif4 honorific"
"1416","방을 예약하시겠어요?","Would you like to reserve a room?","","","dif4 honorific"
"1417","커피에 설탕을 넣으시겠어요?","Would you like sugar in your coffee?","","","dif4 honorific"
"1418","여름휴가 때 여행을 하려고 해요.","I plan to travel during the summer vacation.","","","dif4"
"1419","뭐 하는&nbsp;중이었어요?","What were you doing?","","","dif4"
"1420","바쁘면 안 가도 돼요.","If you're busy, you don't have to go.","","","dif4"
"1421","다이어트하지 않아도 돼요.","You don't have to diet.","","","dif4"
"1422","여길 어떻게 알았어요?","How did you find out about this place?","","여길 = 여기+를","dif4"
"1423","어딜 눌러야 돼요?","Where should I press?","","누르다 - to press","dif4 irregular"
"1424","내일 몇 시에 오시겠어요?","What time will you come tomorrow?","","","dif4 honorific"
"1425","30분 후에 다시 전화해 주시겠어요?","Would you mind calling me in 30 minutes?","","","dif4 honorific"
"1426","그럼, 인사동에 가 보시겠어요?","In that case, why don't you go to Insadong?","","","dif4 honorific"
"1427","부모님이 기다리시기 때문에 집에 갑니다.","My parents are waiting for me so I'm going home.","","","dif4 honorific"
"1428","피곤하기 때문입니다.","Because I am tired.","","If you only want to state a reason, you can end the sentence with '때문이다'.","dif4"
"1429","밥을 안 먹었기 때문에 힘이 없습니다.","I didn't eat so I don't have the energy.","","","dif4"
"1430","우리는 서로 사랑했기 때문에 결혼했습니다.","We got married because we loved each other.","","서로 - each other","dif4"
"1431","응, 추우니까 따뜻하게 입어.","Yes, it's going to be cold so dress warmly.","","","casual dif4"
"1432","건강 때문에 올해부터 담배를 끊기로 했어요.","I made the decision to stop smoking for my health starting this year.","","""'-기로 하다' means """"decided to do""""""","dif4"
"1433","주말에 친구하고 같이 등산하기로 했어요.","I decided to go hiking with my friend over the weekend.","","","dif4"
"1434","우리는 3년 후에 결혼하기로 했습니다.","We've decided to get married three years from now.","","","dif4"
"1435","우리는 내일 아침에 만나기로 했습니다.","We decided to meet tomorrow morning.","","","dif4"
"1436","내년에 한국에 가기로 했습니다.","I decided to go to Korea next year.","","","dif4"
"1437","백화점이 몇 시에 여는지 알고 싶어요.","I'd like to know what time the department store opens.","","","dif4 irregular"
"1438","지금 만드는 게 뭐예요?","What are you making?","","","dif4"
"1439","무엇을 드시겠습니까?","What will you eat?","","","dif4 formal honorific"
"1440","사무실에서 기다리겠습니다.","I will wait in the office.","","","dif4"
"1441","내일 아침에 오시겠습니까?","Will you come tomorrow morning?","","","dif4 formal honorific"
"1442","이번 주말에 캐럴 씨와 데이트하기로 했어요.","Carol and I have decided to go on a date this weekend.","","","dif4"
"1443","내일 등산 갈 때 누가 카메라를 가져와요?","Who will bring the camera tomorrow when we go hiking?","","","dif4"
"1444","부디 씨가 가져오기로 했어요.","Budi decided to bring one.","","","dif4"
"1445","커피가 뜨거우니까 조심하세요.","The coffee's hot so be careful.","","뜨겁다 - to be hot","dif4 irregular"
"1446","캐럴 씨, 날씨가 좋은데 밖에 나가서 좀 걸을까요?","Carol, the weather's nice so why don't we go for a walk outside?","","","dif4"
"1447","영어 할 줄 몰라요.","I don't know how to speak English.","","","dif4"
"1448","이거 할 줄 알아요?","Do you know how to do this?","","","dif4"
"1449","아직 할 줄 몰라요. 그런데 할 수 있어요.","I don’t know how to do it yet but I can do it (if I learn how).","","","dif4"
"1450","자전거 탈 줄 알아요?","Do you know how to ride a bike?","Can you ride a bike?","","dif4"
"1451","오늘 볼 영화는 중국 영화입니다.","The movie that I'll be watching today is a Chinese movie.","","","dif4"
"1452","내일 아침에 먹을 빵이 없습니다.","There's no bread for breakfast tomorrow.","","","dif4"
"1453","저는 저녁에 극장에 갈 것입니다.","I will go to the theatre this evening.","","","dif4 formal"
"1454","그러면 케이크나 초콜릿 같은 단 음식을 먹지 마세요.","In that case, stop eating sweets like cake and chocolate.","","달다 - to be sweet","dif4 irregular"
"1455","학교 근처로 이사 오는 게 어때요?","Why don't you move someplace closer to school?","","","dif4"
"1456","농구를 잘하려면 점프를 잘해야 돼요.","If you want to play basketball well, you have to be able to jump high.","","'-려면' is the shortened form of '-려고 하면'.","dif4"
"1457","동대문에 가려면 지하철 4호선을 타세요.","If you're trying to get to Dongdaemun, you should take subway line 4.","","","dif4"
"1458","이 선생님을 만나려면 월요일에 학교로 가세요.","If you want to meet with Ms. Lee then come to school on Monday.","","","dif4"
"1459","지금 바쁘니까 나중에 전화해 주세요.","I am busy now so call me later.","","","dif4"
"1460","와 줘서 고마워요.","Thank you for coming.","","","dif4"
"1461","더우니까 에어컨 켤까요?","It’s hot, so shall we turn on the airconditioner?","","","dif4 irregular"
"1462","냉장고에 불고기 있으니까 먹어.","There is some bulgogi in the refrigerator so eat it.","There is some bulgogi in the refrigerator so you can eat that.","""The first translation is the literal translation, but the second translation is closer in meaning. Koreans often use the imperative when the English would say """"You can...""""""","dif4"
"1463","크게 말해 보십시오.","Please speak louder.","","","dif4 formal"
"1464","어제 비가 온 것 같아요.","It looks like it rained yesterday.","","","dif4"
"1465","어디로 가시겠어요?","Where would you like to go?","","'어디로' is often used with the verb 'to go'. '-로' means 'direction' in this case.","dif4 honorific"
"1466","말하지 않겠습니다.","I won’t tell you.","I will not speak to you.","","dif4 formal"
"1467","아프겠어요.","That must hurt.","It looks like it hurts.","-겠- indicates assumption so you must say this about someone else, not about yourself. (In the first person it indicates intention or sometimes possibility.)","dif4"
"1468","이게 좋겠어요.","I think this will be good.","","","dif4"
"1469","늦겠어요.","(I think) You’ll be late.","","","dif4"
"1470","혼자서도 되겠어요?","Do you think you could handle it on your own?","","","dif4"
"1471","저도 들어가겠네요.","Even I would (be able to) fit in.","","","dif4"
"1472","힘들어 죽겠어요.","I’m so tired (I could die).","This is so tough.","","dif4"
"1473","조금 읽어봤는데 이 책은 별로 재미없는 것 같습니다.","I read this book a little bit, and it doesn't seem very interesting.","","","dif4"
"1474","오늘 선미가 못 올 것 같습니다.","I think Seon-mi won't be able to come today.","","","dif4"
"1475","영화가 재미있을 것 같아서 봤는데 재미없었어요.","I thought the movie would be fun so I watched it but it wasn't fun.","","","dif4"
"1476","대답할 때는 좀 크게 하세요.","Please speak louder when you answer.","","","dif4"
"1477","이따가 집에 가실 때 저한테 들르세요.","When you go home later, please stop by me (my place).","","들르다 - to drop by","dif4 honorific"
"1478","어제 집에 갔을 때 아무도 없었어요.","When I came home last night, no-one was there.","","Note the difference: 갈 때 - when I was, am going, 갔을 때 - when I have finished going.","dif4"
"1479","버스를 타고 가는 동안 음악을 들었습니다.","I was listening to music while riding on the bus.","","","dif4"
"1480","제가 집에 없는 동안 찾아온 사람 있었어요?","Did anyone come to see me during the time I was not home?","","","dif4"
"1481","아기가 자는 동안 가게 좀 다녀오겠습니다.","I'll go to the store while the baby is sleeping.","","","dif4"
"1482","기다리실 동안 이 잡지를 보세요.","You can read this magazine while you are waiting.","","","dif4 honorific"
"1483","한국에 계실 동안 친구를 많이 사귀세요.","Make a lot of friends while you are in Korea.","","","dif4 honorific"
"1484","비자를 받은 뒤에 외국에 갈 수 있습니다.","You can go abroad after you get a visa.","","","dif4"
"1485","한국말을 잘하려면 매일 한국말로만 이야기하세요.","If you want to speak Korean well then only speak Korean every day.","","","dif4"
"1486","잃어버리지 않으려면 펜에 이름을 쓰세요.","If you don't want to lose your pen then write your name on it.","","","dif4"
"1487","우리 회사에서 일하려면 한국말도 잘하고 컴퓨터도 잘해야 합니다.","If you intend to work at our company, you have to be able to speak Korean and use computers well.","","","dif4"
"1488","풍선이 커졌어요.","The balloon became bigger.","","풍선 - balloon","dif4"
"1489","언니가 날씬해졌어요.","My elder sister became thinner.","","","dif4"
"1490","다 끝났는지 잘 모르겠어요.","I’m not sure if it all ended.","","","dif4"
"1491","서점이 내일 문을 열지 잘 모르겠어요.","I’m not sure if the bookstore will open tomorrow.","","","dif4"
"1492","어디로 갈지 잘 모르겠어요.","I’m not sure where we will go.","","","dif4"
"1493","내일 만날지 안 만날지 잘 모르겠어요.","I’m not sure if we will meet tomorrow or not.","","","dif4"
"1494","여기가 맞는지 잘 모르겠어요.","I’m not sure if this is the right place.","","","dif4"
"1495","이게 무슨 뜻인지 잘 모르겠어요.","I’m not sure what this means.","","뜻 - meaning","dif4"
"1496","내일 사람들이 많이 왔으면 좋겠어요.","I hope many people come tomorrow.","","","dif4"
"1497","비가 그쳤으면 좋겠어요.","I hope it stops raining.","","그치다 - to stop","dif4"
"1498","제 선물 마음에 들면 좋겠어요.","I hope you like my present.","","It's possible to also use this expression without the past suffix (하면 / 했으면) but the meaning is less strong so it's not used very often.","dif4"
"1499","제가 20살이었으면 좋겠어요.","I wish I were 20 years old.","","","dif4"
"1500","일주일이 빨리 가는 것 같아요.","It seems like the week is just flying by.","","","dif4"
"1501","눈이 좀 아파서 그랬어요.","That was because my eyes hurt a bit.","","","dif4"
