"index","word","meaning","hanzi","category"
"3097","휴가철","vacation season","休暇-",""
"3098","장난","game, playing (for fun)","",""
"3099","통과하다","to pass, get through","通過",""
"3100","과로","working too much, excessive labor","過勞",""
"3101","손등","back of the hand","",""
"3102","소극장","small theater","小劇場",""
"3103","혼나다","to be scolded, have a hard time","",""
"3104","부대","unit, troops;<div>bag, sack</div>","部隊,&nbsp;負袋",""
"3105","이리저리","here and there, this way and that","",""
"3106","구분하다","to divide, classify","區分",""
"3107","일체","all, the whole;<div>entirely, absolutely</div>","一切,&nbsp;一體",""
"3108","여우","fox","",""
"3109","첫인상","one's first impression","-印象",""
"3110","삼다","to adopt, use a thing as","",""
"3111","자주색","purple, violet","紫朱色"," color "
"3112","막상","in reality","",""
"3113","순수하다","to be pure, genuine","純粹",""
"3114","예의","(good) manners, courtesy","禮儀",""
"3115","쌍둥이","twins","雙-",""
"3116","상사","one's boss, superior","上司",""
"3117","흔하다","to be common, commonplace","",""
"3118","의문","question, doubt","疑問",""
"3119","코미디","comedy",""," eng "
"3120","화해하다","to be reconciled, make up with","和解",""
"3121","작용","action, effect, function","作用",""
"3122","호주머니","pocket","胡-",""
"3123","언론","the press, the media","言論",""
"3124","켜져있다","to be lightened, be turned on","",""
"3125","상상력","imagination","想像力",""
"3126","건너","across","",""
"3127","방해하다","to disturb, interrupt","妨害",""
"3128","세월","(long period of) time","歲月",""
"3129","엉터리","rubbish, nonsense, fake, cheat","",""
"3130","연기자","actor, actress","演技者",""
"3131","되찾다","to recover, regain","",""
"3132","형식","form, formality","形式",""
"3133","늦잠","sleeping late (in the morning), oversleeping","",""
"3134","적절하다","to be appropriate, adequate, proper","適切",""
"3135","명예","honor, distinction, fame","名譽",""
"3136","핑계","excuse, pretext","",""
"3137","불규칙","irregular","不規則",""
"3138","두려워하다","to be afraid, scared of","",""
"3139","기적","miracle;<br>steam whistle","奇蹟,&nbsp;汽笛",""
"3140","오토바이","motorcycle",""," eng "
"3141","통역하다","to interpret (translate orally)","通譯",""
"3142","중식","Chinese food;<div>lunch</div>","中食",""
"3143","입맛","appetite, taste","",""
"3144","곡","tune, music, song","曲",""
"3145","애쓰다","to make efforts, go to trouble","",""
"3146","신분","social position","身分",""
"3147","한참","for some time","",""
"3148","구조하다","to save, rescue","救助",""
"3149","이민","emigration;<div>immigration</div>","移民",""
"3150","복수","revenge;<br>plural","復讐,&nbsp;複數",""
"3151","차라리","rather, preferably","",""
"3152","의외","surprise, unexpected thing","意外",""
"3153","지난날","days gone by, the past","",""
"3154","연주하다","to play (a musical instrument), to perform","演奏",""
"3155","오페라","opera",""," eng "
"3156","구매","purchase","購買",""
"3157","잠자리","dragonfly","",""
"3158","놀리다","to tease, kid, make fun of;<div>to leave something idle, unused</div>","",""
"3159","왕복","round trip","往復",""
"3160","발걸음","step, pace","",""
"3161","응원하다","to cheer, support","應援",""
"3162","물결","wave","",""
"3163","수집하다","to collect, gather","蒐集",""
"3164","살아가다","to lead a life, get along, keep living","",""
"3165","막차","the last train/bus","-車",""
"3166","출판하다","to publish","出版",""
"3167","꽂다","to put into, stick into","",""
"3168","조절하다","to control, adjust, regulate","調節",""
"3169","면접","(job) interview","面接",""
"3170","맞이하다","to welcome, greet, receive","",""
"3171","주장","insistence, assertion;<div>captain, leader</div>","主張,&nbsp;主將",""
"3172","재킷","jacket",""," eng "
"3173","그네","swings","",""
"3174","동작","movement, action","動作",""
"3175","도리어","on the contrary, instead","",""
"3176","먹이","food, feed","",""
"3177","혼내다","to scold, teach a person a lesson;<div>to scare</div>","魂",""
"3178","이만","just this much, this far, to this extent","",""
"3179","강의","lecture","講義",""
"3180","눈사람","snowman","",""
"3181","초점","focus","焦點",""
"3182","지켜보다","to watch, observe","",""
"3183","야간","night, night time","夜間",""
"3184","까다","to peel;<div>to hatch</div>","",""
"3185","취향","taste, liking, preference","趣向",""
"3186","대낮","the middle of the day","",""
"3187","식량","food, provision","食糧",""
"3188","부러지다","to be broken, snap","",""
"3189","널리","widely, broadly, all over","",""
"3190","대사","lines, dialogue;<div>ambassador</div>","臺詞,&nbsp;大使",""
"3191","엉망","wreck, mess, bad shape","",""
"3192","곧장","straight, directly","",""
"3193","우회전하다","to turn right","右回轉",""
"3194","빛나다","to shine, gleam, be bright","",""
"3195","노트북","notebook, laptop",""," eng "
"3196","그제","day before yesterday","",""
"3197","의논하다","to discuss (with), consult","議論",""
"3198","벌떡","suddenly, abruptly","",""
"3199","찢다","to tear, rip","",""
"3200","지시하다","to direct, instruct","指示",""
"3201","대다","to place, put;<div>to feel, touch</div>","",""
"3202","동그랗다","to be round","",""
"3203","공업","industry","工業",""
"3204","시험지","test paper","試驗紙",""
"3205","쐬다","to get (fresh air), be exposed (to sun)","",""
"3206","드러나다","to be exposed, emerge, come out","",""
"3207","자존심","self-respect, pride","自尊心",""
"3208","이끌다","to lead, guide","",""
"3209","바탕","foundation, basis","",""
"3210","나뉘다","to be divided, be apart","",""
"3211","저울","scales, balance","",""
"3212","의식","consciousness;<div>ceremony, ritual</div>","意識",""
"3213","세일","sale",""," eng "
"3214","못되다","to be bad, mean, evil;<div>to be under, short of</div>","",""
"3215","실","thread, yarn","",""
"3216","걸치다","to extend, stretch;<div>to wear, throw on</div>","",""
"3217","부정","denial, negation;<div>corruption, dishonesty;</div><div>unfaithfulness</div>","否定,&nbsp;不正,&nbsp;不貞",""
"3218","지도하다","to guide, direct, coach","指導",""
"3219","감싸다","to cover, wrap (up), shelter","",""
"3220","설사","diarrhea;<div>even if</div>","泄瀉,&nbsp;設使",""
"3221","존중하다","to appreciate, respect","尊重",""
"3222","세대","generation","世代",""
"3223","겪다","to undergo, suffer","",""
"3224","기울다","to tilt, lean, decline","",""
"3225","호기심","curiosity","好奇心",""
"3226","참여하다","to participate (in)","參與",""
"3227","상식","common sense; general knowledge","常識",""
"3228","싱싱하다","to be fresh",""," double "
"3229","눈병","eye disease","-病",""
"3230","놀이공원","amusement park","--公園",""
"3231","사투리","dialect","",""
"3232","덕수궁","Deoksu Palace","德壽宮",""
"3233","문서","document, papers","文書",""
"3234","잠그다","to lock","",""
"3235","품질","quality","品質",""
"3236","전원","countryside, rural areas;<div>electricity supply;</div><div>all members, everyone</div>","田園,&nbsp;電源,&nbsp;全員",""
"3237","클래식","classic",""," eng "
"3238","머물다","to stay, remain","",""
"3239","직후","immediately after","直後",""
"3240","음성","voice;<div>negative</div>","音聲,&nbsp;陰性",""
"3241","번개","lightning","",""
"3242","돌멩이","stone, pebble","",""
"3243","기념품","souvenir","紀念品",""
"3244","훈련","training, practice","訓鍊/訓練",""
"3245","거품","bubble, foam","",""
"3246","런던","London",""," eng "
"3247","빚","debt, loan","",""
"3248","투자하다","to invest","投資",""
"3249","범죄","crime","犯罪",""
"3250","잘나다","to be good, smart, distinguished","",""
"3251","예방하다","to prevent","豫防",""
"3252","대충","roughly, approximately;<div>almost, practically</div>","",""
"3253","임무","duty, task","任務",""
"3254","위기","crisis","危機",""
"3255","동그라미","circle","",""
"3256","유적지","historical site","遺跡地",""
"3257","마주치다","to meet with, come across","",""
"3258","철도","railway","鐵道",""
"3259","증거","evidence","證據",""
"3260","충돌","collision, crash, impact","衝突",""
"3261","줄거리","outline, synopsis, plot;<br>stalk, stem","",""
"3262","대개","mostly, generally","大槪",""
"3263","차이점","differences, points of distinction","差異點",""
"3264","상점","store, shop","商店",""
"3265","페이지","page",""," eng "
"3266","다소","more or less, to some degree","多少",""
"3267","방안","plan, way","方案",""
"3268","제시하다","to suggest, propose, present","提示",""
"3269","순하다","to be gentle, mild, meek","順",""
"3270","줄어들다","to grow smaller, decrease","",""
"3271","인류","humanity, mankind","人類",""
"3272","박히다","to be stuck (in), embedded","",""
"3273","실체","truth, true nature","實體",""
"3274","지겹다","to be tedious, boring, dull","",""
"3275","구별하다","to distinguish, differentiate","區別",""
"3276","자살","suicide","自殺",""
"3277","관람","viewing, inspection","觀覽",""
"3278","실컷","to one's satisfaction, as much as one likes","",""
"3279","다듬다","to trim;<div>to refine</div>","",""
"3280","처리하다","to handle, deal with, take care of","處理",""
"3281","긁다","to scratch, scrape","",""
"3282","시달리다","to suffer (from)","",""
"3283","장군","general, admiral","將軍",""
"3284","캠퍼스","campus",""," eng "
"3285","논문","thesis, research paper","論文",""
"3286","개성","personality, individuality","個性",""
"3287","밤새우다","to stay up all night","",""
"3288","불리하다","to be unfavorable, disadvantageous","不利",""
"3289","불평","complaint","不平",""
"3290","아예","from the beginning;<div>by any means</div>","",""
"3291","음력","lunar calendar","陰曆",""
"3292","데우다","to heat (up), warm (up)","",""
"3293","법원","court (of law)","法院",""
"3294","워낙","very, by nature","",""
"3295","반면에","on the other hand","反面",""
"3296","재판","trial;<div>second edition</div>","裁判,&nbsp;再版",""
"3297","쓸데없다","to be useless","",""
"3298","증명하다","to prove, demonstrate, confirm","證明",""
"3299","기대다","to lean (on), rest (against)","",""
"3300","감각","sense, feeling","感覺",""
"3301","조언","advice","助言",""
"3302","환상","illusion, fantasy","幻想",""
"3303","물러서다","to step back, back off","",""
"3304","모험","adventure","冒險",""
"3305","설정","setup, setting","設定",""
"3306","송별회","farewell party","送別會",""
"3307","천국","heaven, paradise","天國",""
"3308","가로등","street lamp, street light","街路燈",""
"3309","연구실","(professor's) office;<div>laboratory</div>","硏究室",""
"3310","전시하다","to exhibit, display","展示",""
"3311","확보하다","to secure, ensure, assure","確保",""
"3312","충고","advice","忠告",""
"3313","달콤하다","to be sweet, sugary","",""
"3314","작동","operation (of a device)","作動",""
"3315","얌전하다","to be gentle, well-behaved, obedient, modest","",""
"3316","거스름돈","change (coins)","",""
"3317","핑크","pink",""," color eng "
"3318","합계","sum, total","合計",""
"3319","손길","touch of a hand","",""
"3320","차비","transportation fare","車費",""
"3321","껴안다","to hug, embrace","",""
"3322","띄다","to leave a space;<div>to be visible, stand out</div>","",""
"3323","무리","unreasonableness, excess;<div>group, crowd</div>","無理",""
"3324","북한","North Korea","北韓",""
"3325","인상적","impressive","印象的",""
"3326","미처","as far as, to that extent","",""
"3327","벌주다","to punish","",""
"3328","책임지다","to take responsibility","責任",""
"3329","깔끔하다","to be neat, tidy","",""
"3330","지급하다","to provide, pay","支給",""
"3331","갈등","conflict","葛藤",""
"3332","효자","filial (devoted) son","孝子",""
"3333","망치다","to spoil, ruin, screw up","亡-",""
"3334","종","species;<br>bell;<br>slave, servant","種,&nbsp;鐘",""
"3335","들키다","to get caught, be discovered","",""
"3336","장단점","pros and cons, strengths and weaknesses","長短點",""
"3337","암기하다","to memorize","暗記",""
"3338","우습다","to be funny, amusing","",""
"3339","소비","consumption","消費",""
"3340","선글라스","sunglasses",""," eng "
"3341","존경하다","to respect, look up to","尊敬",""
"3342","솜씨","skill, ability","",""
"3343","사례","case, instance, example;<div>reward, compensation</div>","事例,&nbsp;謝禮",""
"3344","필기하다","to take notes","筆記",""
"3345","비만","fatness, corpulence","肥滿",""
"3346","사표","(written) resignation","辭表",""
"3347","여기다","to regard, consider","",""
"3348","지극히","very, extremely, perfectly","至極",""
"3349","대리","deputy, proxy","代理",""
"3350","분수","fountain;<div>fraction</div>","噴水,&nbsp;分數",""
"3351","그럭저럭","somehow","",""
"3352","감독","supervision;<div>supervisor, director</div>","監督",""
"3353","호감","good feeling, favorable impression","好感",""
"3354","제과점","bakery","製菓店",""
"3355","소매","sleeve;<div>retail</div>","小賣",""
"3356","포근하다","to be warm, mild;<div>to be soft, comfortable</div>","",""
"3357","매체","media","媒體",""
"3358","전문적","specialized, professional","專門的/顓門的",""
"3359","예감","premonition, foreboding, hunch","豫感",""
"3360","당첨되다","to win the prize","當籤",""
"3361","모범","example, (role) model","模範",""
"3362","해내다","accomplish, achieve, do","",""
"3363","벗어나다","to get out, deviate","",""
"3364","금융","finance","金融",""
"3365","영리하다","to be smart, clever, bright","怜悧",""
"3366","부리다","<div>to manage, handle;</div>to raise, create, show, have","",""
"3367","교외","the suburbs","郊外",""
"3368","흥분하다","to be excited, be stimulated","興奮",""
"3369","횟수","number (of times)","回數",""
"3370","뚜렷하다","to be distinctive, clear","",""
"3371","휴학하다","to take time off from school","休學",""
"3372","기술자","technician, engineer","技術者",""
"3373","작곡","composition (of music)","作曲",""
"3374","안과","ophthalmic hospital","眼科",""
"3375","후추","black pepper",""," food "
"3376","대체로","generally, mostly","大體-",""
"3377","뇌","brain","腦",""
"3378","가전제품","electric home appliance","家電製品",""
"3379","빈자리","empty seat, vacant spot","",""
"3380","안내원","guide","案內員",""
"3381","설레다","to flutter, vibrate","",""
"3382","부주의","carelessness","不注意",""
"3383","권투","boxing","拳鬪",""
"3384","만원","full house (no space for more people)","滿員",""
"3385","면도하다","to shave","面刀",""
"3386","야단치다","to scold, rebuke","惹端",""
"3387","오염되다","to be contaminated, polluted","汚染",""
"3388","부츠","boots",""," eng "
"3389","공격","attack, assault","攻擊",""
"3390","직장인","(office) worker","職場人",""
"3391","공해","pollution","公害",""
"3392","공개하다","to make public","公開",""
"3393","성당","Catholic church","聖堂",""
"3394","네모","square","",""
"3395","독","poison;<div>jar</div>","毒",""
"3396","제자리","the proper place, the original place","",""
"3397","훔치다","to steal, swipe, lift;<div>to wipe, mop</div>","",""
"3398","잠기다","<div>to be submerged, go down;</div><div>to be locked, be fastened</div>","",""
"3399","상대편","the other party","相對便",""
"3400","방면","direction;<div>way, aspect</div>","方面",""
"3401","농부","farmer, peasant","農夫",""
"3402","꼼꼼하다","to be careful, meticulous",""," double "
"3403","조끼","vest","",""
"3404","노랑","yellow",""," color "
"3405","슬리퍼","slipper",""," eng "
"3406","수다","chatter, chit-chat","",""
"3407","다리미","clothes iron","",""
"3408","졸업식","graduation ceremony","卒業式",""
"3409","지옥","hell","地獄",""
"3410","가입하다","to join, subscribe","加入",""
"3411","결론","conclusion","結論",""
"3412","밭","field, farm","",""
"3413","목록","list, catalogue","目錄",""
"3414","연합","alliance, coalition","聯合",""
"3415","쫓기다","to be chased","",""
"3416","차이다","to get kicked;<div>to be dumped</div>","",""
"3417","인연","tie, connection;<div>destiny</div>","因緣",""
"3418","이기적","selfish","利己的",""
"3419","용감하다","to be brave, daring, courageous","勇敢",""
"3420","그저","without any reason","",""
"3421","증가하다","to increase, grow","增加",""
"3422","제작","production, making","製作",""
"3423","급속히","rapidly","急速",""
"3424","점검하다","to inspect, check","點檢",""
"3425","몫","share, portion","",""
"3426","빨개지다","to turn red","",""
"3427","좀처럼","[not] easily, [not] readily","",""
"3428","사적","private, personal;<div>historical site</div>","私的,&nbsp;史蹟",""
"3429","멀미","nausea, motion sickness","",""
"3430","총장","chancellor, secretary general","總長",""
"3431","외투","overcoat","外套",""
"3432","기계","machine","機械",""
"3433","넘어뜨리다","to throw down, tip down, push down","",""
"3434","처녀","unmarried (single) woman, maiden, virgin","處女",""
"3435","강요","enforcement, coercion","强要",""
"3436","강사","speaker, lecturer, instructor","講師",""
"3437","좁히다","to narrow, restrict","",""
"3438","새다","to leak, escape;<div>to dawn</div>","",""
"3439","전세","lease of a house on a deposit basis;<div>charter;</div><div>war situation</div>","傳貰,&nbsp;專貰,&nbsp;戰勢",""
"3440","조정","adjustment, modification;<br>mediation;<br>rowing","調整,&nbsp;調停,&nbsp;漕艇",""
"3441","바구니","wicker basket","",""
"3442","최고급","highest grade, top class","最高級",""
"3443","이내","within, less than;<div>soon, at once</div>","以內",""
"3444","변경","change, alteration","變更",""
"3445","비명","scream","悲鳴",""
"3446","우편","mail, post","郵便",""
"3447","표준","standard, norm, average","標準",""
"3448","게","crab","",""
"3449","물질","matter, substance, material","物質",""
"3450","교대","rotation, shift, alternation","交代",""
"3451","닳다","to wear out","",""
"3452","샴푸","shampoo",""," eng "
"3453","어긋나다","to be contrary, at cross purposes;<div>to go amiss</div>","",""
"3454","찻잔","teacup","茶盞",""
"3455","이발소","barber shop","理髮所",""
"3456","유혹하다","to tempt, lure, seduce","誘惑",""
"3457","억양","intonation, accent","抑揚",""
"3458","대상","object, target;<div>grand prize</div>","對象,&nbsp;大賞",""
"3459","답변","answer, reply","答辯",""
"3460","시각","time;<div>view;</div><div>sight, vision</div>","時刻,&nbsp;視角,&nbsp;視覺",""
"3461","성질","nature, temper","性質",""
"3462","침묵","silence","沈默",""
"3463","가르다","to divide, cut, split","",""
"3464","어르신","senior citizen, elderly","",""
"3465","메달","medal",""," eng "
"3466","비롯하다","to include","",""
"3467","윗사람","one's senior, one's superior","",""
"3468","쓸쓸하다","to be lonely, forlorn",""," double "
"3469","사생활","privacy, private life","私生活",""
"3470","환상적","fantastic","幻想的",""
"3471","연주회","concert, recital","演奏會",""
"3472","유치하다","to be childish, immature;<div>to attract, invite</div>","幼稚,&nbsp;誘致",""
"3473","최소","the smallest, minimum","最小,&nbsp;最少",""
"3474","우연","coincidence, chance","偶然",""
"3475","삐다","to sprain, twist","",""
"3476","문병가다","to visit a sick person","問病",""
"3477","회비","membership fee","會費",""
"3478","매운탕","spicy fish stew","--湯"," food "
"3479","세트","a set",""," eng "
"3480","재수","luck, fortune","財數",""
"3481","달래다","to soothe, calm (down)","",""
"3482","실천","practice, action (as opposed to just talking)","實踐",""
"3483","단골","regular customer","",""
"3484","한가지","the same;<div>one thing, a kind, a sort</div>","",""
"3485","이별하다","to part, separate","離別",""
"3486","비난하다","to criticize, attack, blame","非難",""
"3487","몽땅","all","",""
"3488","면허증","license, permission","免許證",""
"3489","습도","humidity","濕度",""
"3490","지저분하다","to be messy, disordered, untidy","",""
"3491","무덥다","to be stifling, humid, sultry","",""
"3492","회의실","conference room","會議室",""
"3493","분실","loss","紛失",""
"3494","팔꿈치","elbow","",""
"3495","좌회전하다","to turn left","左回轉",""
"3496","앞서","before, earlier","",""
"3497","올바르다","to be straight, upright, correct","",""
"3498","성실하다","to be sincere, faithful","誠實",""
"3499","대책","countermeasure","對策",""
"3500","천둥","thunder","",""
"3501","현대인","modern people","現代人",""
"3502","고독하다","to be lonely, solitary","孤獨",""
"3503","소방서","fire station","消防署",""
"3504","체험","experience","體驗",""
"3505","뮤지컬","musical",""," eng "
"3506","고궁","old palace","古宮",""
"3507","사인","signature, autograph;<div>cause of death</div>","死因",""
"3508","장마철","the rainy season","",""
"3509","다투다","to fight, argue, struggle","",""
"3510","천사","angel","天使",""
"3511","넘기다","to turn over","",""
"3512","거꾸로","upside down, inside out, backwards","",""
"3513","불쾌하다","to be unpleasant, uncomfortable","不快",""
"3514","둘러싸다","to surround, enclose","",""
"3515","삭제하다","to delete, remove","削除",""
"3516","언급","mention, reference","言及",""
"3517","인심","one's mind, one's heart","人心",""
"3518","대한민국","Republic of Korea","大韓民國",""
"3519","가능성","possibility, likelihood;<div>potential</div>","可能性",""
"3520","신비하다","to be mysterious","神秘",""
"3521","큰아버지","father's elder brother","",""
"3522","큰어머니","father's elder brother's wife","",""
"3523","폭","width, range;<div>deeply, completely</div>","幅",""
"3524","남미","South America","南美",""
"3525","분류하다","to classify, categorize","分類",""
"3526","휴양지","rest area, resort, vacation spot","休養地",""
"3527","마라톤","marathon",""," eng "
"3528","매달다","to hang, suspend","",""
"3529","폭설","heavy snowfall","暴雪",""
"3530","세차하다","to wash a car","洗車",""
"3531","마약","drugs, narcotics","痲藥",""
"3532","독하다","to be potent, strong;<div>to be spiteful</div>","毒",""
"3533","소형","small item, small size","小型·小形",""
"3534","굳다","to harden, solidify, get stiff","",""
"3535","뱉다","to spit out","",""
"3536","생활비","living expenses, the cost of living","生活費",""
"3537","멎다","to stop","",""
"3538","매","hawk, falcon;<div>whip, rod</div>","",""
"3539","호두","walnut","",""
"3540","달려들다","to attack, jump at","",""
"3541","눈길","snowy road;<div>eyes, line of vision</div>","",""
"3542","귀중하다","to be precious, valuable","貴重",""
"3543","안색","complexion;<div>the look on one's face</div>","顔色",""
"3544","밑줄","underline","",""
"3545","물약","liquid medicine","-藥",""
"3546","상영","screening, showing (a movie etc.)","上映",""
"3547","돌아다니다","to wander around, roam","",""
"3548","양심","conscience","良心",""
"3549","풍부하다","to be plentiful, ample","豊富",""
"3550","유머","humor",""," eng "
"3551","피서","summer retreat (out of town), summer vacation, getaway","避暑",""
"3552","시력","eyesight","視力",""
"3553","학비","school expenses, tuition fees","學費",""
"3554","수십","tens, scores, dozens","數十",""
"3555","다양하다","to be various, diverse","多樣",""
"3556","도서","books, publications","圖書",""
"3557","한계","limit, boundary","限界",""
"3558","바가지","dipper;<div>rip-off</div>","",""
"3559","처방","prescription","處方",""
"3560","월세","monthly rent","月貰",""
"3561","바둑","Go (the board game)","",""
"3562","수수료","commission, fee","手數料",""
"3563","폭발하다","to explode, blow up, detonate, erupt","暴發, 爆發",""
"3564","다지다","to chop up, mince;<div>to harden</div>","",""
"3565","과연","indeed, sure enough","果然",""
"3566","사모님","one's teacher's wife,<div>one's superior's wife</div>","師母-",""
"3567","골","goal;<br>valley;<br>brain","",""
"3568","어지럽다","to be dizzy, feel giddy;<div>to be in disorder</div>","",""
"3569","부서지다","to break, break down, become out of order","",""
"3570","과장하다","to exaggerate","誇張",""
"3571","화재","fire (the kind that you call firefighters for)","火災",""
"3572","접수","receipt, reception","接受",""
"3573","바치다","to dedicate, offer, give","",""
"3574","유료","requiring payment","有料",""
"3575","장인","one's wife's father;<br>master craftsman","丈人,&nbsp;匠人",""
"3576","진행자","presenter, host, MC","進行者",""
"3577","부정확","inaccuracy, incorrectness","不正確",""
"3578","스타킹","stockings",""," eng "
"3579","안약","eye drops","眼藥",""
"3580","교재","teaching materials","敎材",""
"3581","동화책","fairy tale book","童話冊",""
"3582","흉내","imitation","",""
"3583","순식간에","in the blink of an eye","瞬息間",""
"3584","실장","chief, head of department","室長",""
"3585","조미료","seasoning, condiment","調味料",""
"3586","영웅","hero, heroine","英雄",""
"3587","거미","spider","",""
"3588","분량","quantity","分量",""
"3589","날리다","to lose, make fly","",""
"3590","끌리다","to drag, be drawn (to)","",""
"3591","몸짓","gesture","",""
"3592","온천","hot spring","溫泉",""
"3593","속다","to be deceived, be fooled","",""
"3594","선","line;<div>goodness, virtue;</div><div>meeting with a prospective marriage partner</div>","線,&nbsp;善",""
"3595","거지","beggar","",""
"3596","감독하다","to supervise, oversee","監督",""
"3597","굽","heel","",""
"3598","노약자","old and/or weak people","老弱者",""
"3599","동창회","alumni meeting, reunion","同窓會",""
"3600","핸드백","handbag",""," eng "
"3601","위대하다","to be great, grand","偉大",""
"3602","출신","native, origin","出身",""
"3603","업체","business, enterprise, concern","業體",""
"3604","작성하다","to draw up, write out, prepare","作成",""
"3605","초급","elementary (beginning) level","初級",""
"3606","약혼","engagement (before marriage)","約婚",""
"3607","나르다","to carry, transport","",""
"3608","이윽고","eventually, at last, finally","",""
"3609","장기간","long time","長期間",""
"3610","담당자","person in charge","擔當者",""
"3611","병실","hospital room, ward","病室",""
"3612","눈부시다","to be dazzling, glaring, brilliant","",""
"3613","격려하다","to encourage","激勵",""
"3614","소독하다","to disinfect, sterilize","消毒",""
"3615","야경","night view","夜景",""
"3616","탤런트","TV actor, TV star",""," eng "
"3617","찌푸리다","to frown, scowl;<div>to cloud over</div>","",""
"3618","느끼하다","to be greasy, oily, rich","",""
"3619","정직하다","to be honest, straightforward","正直",""
"3620","전망","view, prospect","展望",""
"3621","평균","average, mean","平均",""
"3622","잔디밭","lawn","",""
"3623","몸매","one's figure","",""
"3624","재활용","recycling","再活用",""
"3625","그런대로","such as it is","",""
"3626","재활용품","recyclable materials","再活用品",""
"3627","몰려오다","to come in flocks, swarm in","",""
"3628","계산대","counter, checkout","計算臺",""
"3629","귀하","sir, madam","貴下",""
"3630","뽀뽀","kiss, peck",""," double "
"3631","억지로","against one's will, by force","",""
"3632","생년월일","date of birth","生年月日",""
"3633","녹이다","to melt, dissolve","",""
"3634","세미나","seminar",""," eng "
"3635","복사기","copy machine","複寫機/複寫器",""
"3636","씨앗","seed","",""
"3637","진동하다","to vibrate","振動",""
"3638","비비다","to rub; to mix","",""
"3639","자극하다","to stimulate, arouse, excite, irritate","刺戟",""
"3640","검색","search","檢索",""
"3641","왼편","the left side","―便",""
"3642","서운하다","to be sad, hurt;<div>to be regrettable</div>","",""
"3643","까다롭다","to be particular (about), fussy, difficult","",""
"3644","시외버스","intercity bus","市外bus",""
"3645","정성","sincerity, devotion","精誠",""
"3646","설치","installation","設置",""
"3647","삼키다","to swallow","",""
"3648","마음씨","nature, temper","",""
"3649","내버리다","to throw away","",""
"3650","조르다","to pester, nag;<div>to tighten</div>","",""
"3651","지적하다","to point out, indicate","指摘",""
"3652","신청서","application form","申請書",""
"3653","해변","beach, seashore","海邊",""
"3654","복용하다","to take (a dose of) medicine or drugs","服用",""
"3655","갇히다","to be locked (up), shut (in), confined","",""
"3656","재능","talent, gift","才能",""
"3657","맺다","to bear, produce;<div>to form</div>","",""
"3658","문득","suddenly","",""
"3659","뺏다","to take (away), snatch","",""
"3660","파리","fly;<div>Paris</div>","",""
"3661","체조","gymnastics","體操",""
"3662","최대한","maximum, at the most","最大限",""
"3663","운영하다","to manage, run, operate","運營",""
"3664","꿇다","to kneel (down)","",""
"3665","바래다주다","see a person home","",""
"3666","끈","string, cord","",""
"3667","미장원","beauty parlor, hair salon","美粧院",""
"3668","눈싸움","snowball fight;<div>staring contest</div>","",""
"3669","약도","rough map, sketch map","略圖",""
"3670","피해자","victim","被害者",""
"3671","콤플렉스","inferiority complex",""," eng "
"3672","통통하다","to be plump, chubby",""," double "
"3673","대기하다","to stand by, be waiting","待機",""
"3674","주전자","kettle","酒煎子",""
"3675","추가하다","to add, supplement","追加",""
"3676","허리띠","belt","",""
"3677","정오","noon, midday","正午",""
"3678","어리석다","to be foolish, stupid, silly","",""
"3679","고속도로","expressway, highway","高速道路",""
"3680","교문","school gate","校門",""
"3681","상업","commerce, business","商業",""
"3682","단독","single, solo, independent","單獨",""
"3683","벼","rice","",""
"3684","수량","quantity, amount;<div>quantity of water</div>","數量,&nbsp;水量",""
"3685","화창하다","to be sunny","和暢",""
"3686","강의실","lecture room","講義室",""
"3687","경비","expenses;<br>guard, security","經費,&nbsp;警備",""
"3688","유형","type, category","類型",""
"3689","비상","emergency -","非常",""
"3690","금액","amount of money","金額",""
"3691","정면","front, facade","正面",""
"3692","금하다","to prohibit, forbid, ban","禁",""
"3693","사항","matter, item, particulars","事項",""
"3694","안부","regards;<div>news (regarding a person)</div>","安否",""
"3695","외아들","only son","",""
"3696","원룸","studio (apartment)",""," eng "
"3697","화장대","dressing table","化粧臺",""
"3698","표준어","standard language","標準語",""
"3699","업다","to carry on one's back","",""
"3700","규정","rule, regulation","規定",""
"3701","그리움","longing, yearning","",""
"3702","탈출하다","to escape","脫出",""
"3703","구역","area, zone, district","區域",""
"3704","우아하다","to be elegant, graceful","優雅",""
"3705","초기","the early days, the beginning","初期",""
"3706","무사히","safely","無事",""
"3707","적히다","to be written down","",""
"3708","감추다","to hide, conceal","",""
"3709","도저히","not at all, no way","到底-",""
"3710","계곡","valley","溪谷",""
"3711","캄캄하다","to be dark, pitch-black",""," double "
"3712","프린터","printer",""," eng "
"3713","교양","sophistication, refinement","敎養",""
"3714","응답","answer, response","應答",""
"3715","전자레인지","microwave oven","電子range",""
"3716","서럽다","to be sad, sorrowful","",""
"3717","분실물","lost article, lost item","紛失物",""
"3718","동영상","video","動映像",""
"3719","선호하다","to prefer","選好",""
"3720","정형외과","orthopedics","整形外科",""
"3721","편견","prejudice, bias","偏見",""
"3722","애정","love, affection","愛情",""
"3723","인쇄하다","to print","印刷",""
"3724","상반기","the first half of the year","上半期",""
"3725","난리","fuss, disturbance","亂離",""
"3726","시댁","one's husband's home (family)","媤宅",""
"3727","까먹다","to forget;<br>to peel and eat;<br>to use up","",""
"3728","속담","saying, proverb","俗談",""
"3729","공지하다","to announce, notify","公知",""
"3730","수수께끼","puzzle, riddle","",""
