"index","word","meaning","furi","pos","e.g.","e.g.[voc]","e.g.[eng]"
"1084","真っ青","deep-blue, pale (skin)","真[ま]っ 青[さお]","Adjectival Noun","空[そら]が<b> 真[ま]っ 青[さお]</b>です。","空が<b>真っ青</b>です。","The sky is bright blue."
"1085","色々","various","色々[いろいろ]","Adjectival Noun","彼[かれ]は<b> 色々[いろいろ]</b>なことを 知[し]っている。","彼は<b>色々</b>なことを知っている。","He knows about a lot of things."
"1086","ペン","pen","ペン","Noun","<b>ペン</b>を 貸[か]してください。","<b>ペン</b>を貸してください。","Please lend me the pen."
"1087","人形","doll","人形[にんぎょう]","Noun","彼女[かのじょ]は<b> 人形[にんぎょう]</b>をたくさん 持[も]っています。","彼女は<b>人形</b>をたくさん持っています。","She has a lot of dolls."
"1088","形","shape, form","形[かたち]","Noun","その 椅子[いす]は 変[か]わった<b> 形[かたち]</b>をしている。","その椅子は変わった<b>形</b>をしている。","That chair has an unusual shape."
"1089","大型","large, large scale","大型[おおがた]","Noun","<b> 大型[おおがた]</b>のテレビを 買[か]った。","<b>大型</b>のテレビを買った。","We bought a large television."
"1090","種類","kind, variety, species","種類[しゅるい]","Noun","バラには 色々[いろいろ]な<b> 種類[しゅるい]</b>があります。","バラには色々な<b>種類</b>があります。","There are many varieties of rose."
"1091","おしゃべり","chatter, talkative","おしゃべり","Verbal Noun","妹[いもうと]はとても<b>おしゃべり</b>です。","妹はとても<b>おしゃべり</b>です。","My little sister's very talkative."
"1092","直す","repair, cure, alter","直[なお]す","Verb","私[わたし]がそれを<b> 直[なお]しました</b>。","私がそれを<b>直しました</b>。","I mended it."
"1093","真っ直ぐ","dead straight, honestly","真[ま]っ 直[す]ぐ","Adverb","この 道[みち]を<b> 真[ま]っ 直[す]ぐ</b> 行[い]ってください。","この道を<b>真っ直ぐ</b>行ってください。","Please go straight along this road."
"1094","直接","directly","直接[ちょくせつ]","Adverb","彼[かれ]に<b> 直接[ちょくせつ]</b>お 願[ねが]いしなさい。","彼に<b>直接</b>お願いしなさい。","Ask him directly."
"1095","角","corner, edge, angle","角[かど]","Noun","次[つぎ]の<b> 角[かど]</b>で 左[ひだり]に 曲[ま]がってください。","次の<b>角</b>で左に曲がってください。","Please turn left at the next corner."
"1096","きっと","surely, certainly","きっと","Adverb","明日[あした]は<b>きっと</b> 雨[あめ]が 降[ふ]ります。","明日は<b>きっと</b>雨が降ります。","I'm sure it'll rain tomorrow."
"1097","三角","triangle","三角[さんかく]","Noun","紙[かみ]を<b> 三角[さんかく]</b>に 切[き]りました。","紙を<b>三角</b>に切りました。","I cut the paper into a triangle."
"1098","四角","square, quadrilateral","四角[しかく]","Adjectival Noun","紙[かみ]を<b> 四角[しかく]</b>に 切[き]ってください。","紙を<b>四角</b>に切ってください。","Please cut the paper into a square."
"1099","四角い","square, four-sided","四角[しかく]い","Adjective","こっちの<b> 四角[しかく]い</b>テーブルを 買[か]おうよ。","こっちの<b>四角い</b>テーブルを買おうよ。","Let's buy this square table over here."
"1100","四つ角","street corner, intersection","四[よ]つ 角[かど]","Noun","あそこの<b> 四[よ]つ 角[かど]</b>を 左[ひだり]に 曲[ま]がってください。","あそこの<b>四つ角</b>を左に曲がってください。","Please turn left at that crossroad up there."
"1101","メニュー","menu, bill of fare","メニュー","Noun","<b>メニュー</b>をください。","<b>メニュー</b>をください。","Please give me the menu."
"1102","曲","song, melody, tune","曲[きょく]","Noun","私[わたし]はこの<b> 曲[きょく]</b>が 大好[だいす]きです。","私はこの<b>曲</b>が大好きです。","I love this song."
"1103","曲げる","bend, curve","曲[ま]げる","Verb","ひざを<b> 曲[ま]げて</b>ください。","ひざを<b>曲げて</b>ください。","Please bend your knees."
"1104","曲がり角","street corner","曲[ま]がり 角[かど]","Noun","ポストはそこの<b> 曲[ま]がり 角[かど]</b>にあります。","ポストはそこの<b>曲がり角</b>にあります。","There's a post box on that corner."
"1105","同様","similar, same","同様[どうよう]","Adjectival Noun","私[わたし]たちは 彼[かれ]を 家族[かぞく]<b> 同様[どうよう]</b>に 思[おも]っている。","私たちは彼を家族<b>同様</b>に思っている。","We think of him just like family."
"1106","アイスクリーム","ice cream","アイスクリーム","Noun","弟[おとうと]は<b>アイスクリーム</b>が 大好[だいす]きです。","弟は<b>アイスクリーム</b>が大好きです。","My little brother loves ice cream."
"1107","間違い","mistake, error","間違[まちが]い","Noun","この 文[ぶん]には<b> 間違[まちが]い</b>があります。","この文には<b>間違い</b>があります。","There's a mistake in this sentence."
"1108","間違える","make a mistake (in something), confuse (を)","間違[まちが]える","Verb","電話番号[でんわ ばんごう]を<b> 間違[まちが]えました</b>。","電話番号を<b>間違えました</b>。","I called the wrong number."
"1109","間違う","be mistaken, be incorrect","間違[まちが]う","Verb","あなたは<b> 間違[まちが]っている</b>。","あなたは<b>間違っている</b>。","You're mistaken."
"1110","似ている","look like, resemble","似[に]ている","Verb","私[わたし]は 母[はは]に<b> 似[に]ています</b>。","私は母に<b>似ています</b>。","I look like my mother."
"1111","おしゃれ","dressing up, trendy","おしゃれ","Verbal Noun","あの 子[こ]は<b>おしゃれ</b>だね。","あの子は<b>おしゃれ</b>だね。","That girl is trendy."
"1112","以上","more than,&nbsp;not less than","以上[いじょう]","Noun","飛行機[ひこうき]が 1時間[いちじかん]<b> 以上[いじょう]</b> 遅[おく]れた。","飛行機が1時間<b>以上</b>遅れた。","The plane arrived over an hour late."
"1113","旅行","travel, trip","旅行[りょこう]","Verbal Noun","彼女[かのじょ]は<b> 旅行[りょこう]</b>が 好[す]きです。","彼女は<b>旅行</b>が好きです。","She likes traveling."
"1114","大使館","embassy","大使館[たいしかん]","Noun","彼[かれ]は<b> 大使館[たいしかん]</b>に 勤[つと]めています。","彼は<b>大使館</b>に勤めています。","He's working for the embassy."
"1115","旅館","Japanese inn","旅館[りょかん]","Noun","京都[きょうと]では<b> 旅館[りょかん]</b>に 泊[と]まりました。","京都では<b>旅館</b>に泊まりました。","I stayed at an inn in Kyoto."
"1116","ジュース","juice, soft drink","ジュース","Noun","この<b>ジュース</b>は 甘[あま]すぎる。","この<b>ジュース</b>は甘すぎる。","This juice is too sweet."
"1117","映画館","movie theater","映画館[えいがかん]","Noun","彼[かれ]と 近[ちか]くの<b> 映画館[えいがかん]</b>に 行[い]きました。","彼と近くの<b>映画館</b>に行きました。","I went to a nearby movie theater with him."
"1118","宿題","homework","宿題[しゅくだい]","Noun","友達[ともだち]と 一緒[いっしょ]に<b> 宿題[しゅくだい]</b>をした。","友達と一緒に<b>宿題</b>をした。","I did my homework with a friend."
"1119","泊める","lodge, give shelter","泊[と]める","Verb","友達[ともだち]をうちに<b> 泊[と]めてあげました</b>。","友達をうちに<b>泊めてあげました</b>。","I put my friend up at my house."
"1120","遊び","play, amusement","遊[あそ]び","Noun","お 正月[しょうがつ]には 色々[いろいろ]な<b> 遊[あそ]び</b>をします。","お正月には色々な<b>遊び</b>をします。","We play a lot of games at New Year's."
"1121","ゼロ","zero","ゼロ","Noun","今日[きょう]の 交通事故[こうつう じこ]は<b>ゼロ</b>です。","今日の交通事故は<b>ゼロ</b>です。","Today there were zero traffic accidents."
"1122","洋服","clothes","洋服[ようふく]","Noun","今日[きょう]は<b> 洋服[ようふく]</b>を 買[か]いに 行[い]きます。","今日は<b>洋服</b>を買いに行きます。","I'm going to buy some clothes today."
"1123","教室","classroom, class","教室[きょうしつ]","Noun","私[わたし]の<b> 教室[きょうしつ]</b>は 3階[さんがい]にあります。","私の<b>教室</b>は3階にあります。","My classroom is on the third floor."
"1124","図書室","library room","図書室[としょしつ]","Noun","<b> 図書室[としょしつ]</b>で 勉強[べんきょう]した。","<b>図書室</b>で勉強した。","I studied at the library."
"1125","窓","window, windowpane","窓[まど]","Noun","<b> 窓[まど]</b>を 開[あ]けてください。","<b>窓</b>を開けてください。","Please open the window."
"1126","ピンク","pink","ピンク","Noun","娘[むすめ]が<b>ピンク</b>のドレスを 着[き]ている。","娘が<b>ピンク</b>のドレスを着ている。","My daughter's wearing a pink dress."
"1127","親しい","intimate, close","親[した]しい","Adjective","週末[しゅうまつ]、<b> 親[した]しい</b> 友達[ともだち]を 家[いえ]に 呼[よ]んだ。","週末、<b>親しい</b>友達を家に呼んだ。","I invited a good friend to my house over the weekend."
"1128","親切","kind, friendly","親切[しんせつ]","Adjectival Noun","<b> 親切[しんせつ]</b>にしてくださってどうもありがとうございます。","<b>親切</b>にしてくださってどうもありがとうございます。","Thank you for being so kind to me."
"1129","不親切","unkind, inattentive","不親切[ふしんせつ]","Adjectival Noun","その 店員[てんいん]は<b> 不親切[ふしんせつ]</b>だった。","その店員は<b>不親切</b>だった。","That store clerk was unkind."
"1130","家族","family, household","家族[かぞく]","Noun","うちは 五人[ごにん]<b> 家族[かぞく]</b>です。","うちは五人<b>家族</b>です。","We're a family of five."
"1131","グラス","glass","グラス","Noun","これはきれいな<b>グラス</b>ですね。","これはきれいな<b>グラス</b>ですね。","This is a beautiful glass."
"1132","万歳","Banzai! Hurrah! Long live...!","万歳[ばんざい]","Verbal Noun","勝[か]った、<b> 万歳[ばんざい]</b>!","勝った、<b>万歳</b>!","We won--hurray!"
"1133","二十歳","20 years old","二十歳[はたち]","Noun","妹[いもうと]は 来年[らいねん]、<b> 二十歳[はたち]</b>になります。","妹は来年、<b>二十歳</b>になります。","My little sister will be 20 next year."
"1134","姉さん","older sister, girl, miss","姉[ねえ]さん","Noun","<b> 姉[ねえ]さん</b>、ごめんね。","<b>姉さん</b>、ごめんね。","I'm sorry sis."
"1135","兄さん","older brother","兄[にい]さん","Noun","<b> 兄[にい]さん</b>、おめでとう。","<b>兄さん</b>、おめでとう。","Congratulations, big brother."
"1136","ダンス","dance, dancing","ダンス","Verbal Noun","彼女[かのじょ]は<b>ダンス</b>が 大好[だいす]きです。","彼女は<b>ダンス</b>が大好きです。","She loves to dance."
"1137","兄弟","siblings","兄弟[きょうだい]","Noun","彼[かれ]は 3人[さんにん]<b> 兄弟[きょうだい]</b>です。","彼は3人<b>兄弟</b>です。","He has two siblings."
"1138","業者","business man","業者[ぎょうしゃ]","Noun","引[ひ]っ 越[こ]しを<b> 業者[ぎょうしゃ]</b>に 頼[たの]んだ。","引っ越しを<b>業者</b>に頼んだ。","I asked a company to handle my move."
"1139","若者","young person, youth","若者[わかもの]","Noun","最近[さいきん]の<b> 若者[わかもの]</b>は 本[ほん]を 読[よ]まない。","最近の<b>若者</b>は本を読まない。","Young people these days don't read books."
"1140","彼ら","they","彼[かれ]ら","Noun","<b> 彼[かれ]ら</b>はバスケットの 選手[せんしゅ]です。","<b>彼ら</b>はバスケットの選手です。","They're basketball players."
"1141","おじ","uncle","おじ","Noun","<b>おじ</b>は 銀行[ぎんこう]に 勤[つと]めています。","<b>おじ</b>は銀行に勤めています。","My uncle works for a bank."
"1142","結合","combination, joining","結合[けつごう]","Verbal Noun","ファイルを<b> 結合[けつごう]</b>して 1[ひと]つにしました。","ファイルを<b>結合</b>して1つにしました。","I consolidated the files into just one."
"1143","結果","result, outcome","結果[けっか]","Noun","試合[しあい]の<b> 結果[けっか]</b>を 早[はや]く 知[し]りたい。","試合の<b>結果</b>を早く知りたい。","I want to know the results of the game soon."
"1144","果物","fruit","果物[くだもの]","Noun","デザートに<b> 果物[くだもの]</b>を 食[た]べましょう。","デザートに<b>果物</b>を食べましょう。","Let's have fruit for dessert."
"1145","課題","task, problem","課題[かだい]","Noun","夏休[なつやす]みの<b> 課題[かだい]</b>は 何[なん]ですか。","夏休みの<b>課題</b>は何ですか。","What's our summer assignment?"
"1146","サッカー","soccer, football","サッカー","Noun","彼[かれ]は<b>サッカー</b>の 選手[せんしゅ]です。","彼は<b>サッカー</b>の選手です。","He's a soccer player."
"1147","課","section, division, lesson","課[か]","Noun","今[いま]から<b> 課[か]</b>のミーティングがある。","今から<b>課</b>のミーティングがある。","Our division is going to have a meeting now."
"1148","効果","effect, result","効果[こうか]","Noun","この 薬[くすり]には 胃[い]を 守[まも]る<b> 効果[こうか]</b>がある。","この薬には胃を守る<b>効果</b>がある。","This medicine is effective in protecting your stomach."
"1149","自動車","automobile","自動車[じどうしゃ]","Noun","彼[かれ]は<b> 自動車[じどうしゃ]</b> 会社[がいしゃ]に 就職[しゅうしょく]した。","彼は<b>自動車</b>会社に就職した。","He got a job at a car company."
"1150","自然","nature","自然[しぜん]","Noun","みんなで<b> 自然[しぜん]</b>を 守[まも]りましょう。","みんなで<b>自然</b>を守りましょう。","Let's all work to protect Nature."
"1151","スープ","soup, broth","スープ","Noun","母[はは]がコーン<b>スープ</b>を 作[つく]っている。","母がコーン<b>スープ</b>を作っている。","My mother made some corn chowder."
"1152","自然","natural, naturally","自然[しぜん]","Adjectival Noun","親[おや]が 子供[こども]を 守[まも]るのは<b> 自然[しぜん]</b>なことだ。","親が子供を守るのは<b>自然</b>なことだ。","It's natural that parents protect their children."
"1153","自習","self-study, self-teaching","自習[じしゅう]","Verbal Noun","明日[あす]は<b> 自習[じしゅう]</b>の 時間[じかん]がある。","明日は<b>自習</b>の時間がある。","I have study time tomorrow."
"1154","理由","reason, cause","理由[りゆう]","Noun","遅[おく]れた<b> 理由[りゆう]</b>を 教[おし]えてください。","遅れた<b>理由</b>を教えてください。","Please tell me why you were late."
"1155","自由","freedom, free","自由[じゆう]","Adjectival Noun","今日[きょう]は<b> 自由[じゆう]</b>な 時間[じかん]が 多[おお]い。","今日は<b>自由</b>な時間が多い。","I have a lot of free time today."
"1156","バナナ","banana","バナナ","Noun","私[わたし]は 毎朝[まいあさ]<b>バナナ</b>を 食[た]べます。","私は毎朝<b>バナナ</b>を食べます。","I eat a banana every morning."
"1157","信じる","believe, trust, have faith in","信[しん]じる","Verb","彼[かれ]はキリストを<b> 信[しん]じている</b>。","彼はキリストを<b>信じている</b>。","He believes in Christ."
"1158","信号","signal, traffic light","信号[しんごう]","Noun","<b> 信号[しんごう]</b>が 青[あお]になった。","<b>信号</b>が青になった。","The traffic light turned green."
"1159","頼む","ask, request","頼[たの]む","Verb","私[わたし]はハンバーガーを<b> 頼[たの]みました</b>。","私はハンバーガーを<b>頼みました</b>。","I ordered a hamburger."
"1160","市民","citizens, townsmen","市民[しみん]","Noun","<b> 市民[しみん]</b>の 安全[あんぜん]は 大切[たいせつ]だ。","<b>市民</b>の安全は大切だ。","The citizens' safety is important."
"1161","うるさい","noisy, annoying, pesky","うるさい","Adjective","この 通[とお]りは 車[くるま]の 音[おと]が<b>うるさい</b>。","この通りは車の音が<b>うるさい</b>。","Traffic is noisy on this street."
"1162","住民","residents, inhabitants","住民[じゅうみん]","Noun","地域[ちいき]の<b> 住民[じゅうみん]</b>が 集[あつ]まって 話合[はなしあ]いをした。","地域の<b>住民</b>が集まって話合いをした。","The local residents got together and talked."
"1163","主人","husband,&nbsp;the head of the house","主人[しゅじん]","Noun","<b> 主人[しゅじん]</b>は 今[いま]、 留守[るす]です。","<b>主人</b>は今、留守です。","My husband is out now."
"1164","議員","legislator","議員[ぎいん]","Noun","彼[かれ]は 国会[こっかい]<b> 議員[ぎいん]</b>です。","彼は国会<b>議員</b>です。","He's a congressman."
"1165","会議","conference, meeting","会議[かいぎ]","Verbal Noun","今日[きょう]の 午後[ごご]、 大事[だいじ]な<b> 会議[かいぎ]</b>があります。","今日の午後、大事な<b>会議</b>があります。","There's an important meeting this afternoon."
"1166","パトカー","police car, patrol car","パトカー","Noun","あそこに<b>パトカー</b>がいる。","あそこに<b>パトカー</b>がいる。","There's a police car over there."
"1167","対する","in response to, face","対[たい]する","Verb","その 質問[しつもん]に<b> 対[たい]する</b> 答[こた]えが 見[み]つからなかった。","その質問に<b>対する</b>答えが見つからなかった。","I couldn't find an answer to that question."
"1168","対立","opposition, antagonism","対立[たいりつ]","Verbal Noun","その 2社[にしゃ]は<b> 対立[たいりつ]</b>しています。","その2社は<b>対立</b>しています。","The two companies are against each other."
"1169","反対","oppose, the opposite","反対[はんたい]","Verbal Noun","私[わたし]は<b> 反対[はんたい]</b>です。","私は<b>反対</b>です。","I'm against it."
"1170","答え","answer, solution","答[こた]え","Noun","彼[かれ]はその 問題[もんだい]の<b> 答[こた]え</b>が 分[わ]からない。","彼はその問題の<b>答え</b>が分からない。","He doesn't know the answer to the problem."
"1171","ハンバーガー","hamburger","ハンバーガー","Noun","今日[きょう]の 昼[ひる]ご 飯[はん]は<b>ハンバーガー</b>でした。","今日の昼ご飯は<b>ハンバーガー</b>でした。","I had a hamburger for lunch today."
"1172","特に","specially, particularly","特[とく]に","Adverb","<b> 特[とく]に</b> 質問[しつもん]はありません。","<b>特に</b>質問はありません。","I don't particularly have any questions."
"1173","特急","limited express (train)","特急[とっきゅう]","Noun","東京[とうきょう]まで<b> 特急[とっきゅう]</b>で 3時間[さんじかん]かかります。","東京まで<b>特急</b>で3時間かかります。","It takes three hours to Tokyo by limited express."
"1174","特別","special, extraordinary","特別[とくべつ]","Adjectival Noun","あなたは 私[わたし]にとって<b> 特別[とくべつ]</b>な 人[ひと]です。","あなたは私にとって<b>特別</b>な人です。","You're special to me."
"1175","別々","separately","別々[べつべつ]","Adjectival Noun","<b> 別々[べつべつ]</b>に 払[はら]いましょう。","<b>別々</b>に払いましょう。","Let's get separate checks."
"1176","エスカレーター","escalator","エスカレーター","Noun","3階[さんかい]まで<b>エスカレーター</b>で 行[い]きましょう。","3階まで<b>エスカレーター</b>で行きましょう。","Let's take the escalator up to the third floor."
"1177","別れる","separate, part from","別[わか]れる","Verb","駅[えき]で 友[とも]だちと<b> 別[わか]れました</b>。","駅で友だちと<b>別れました</b>。","I parted with my friend at the station."
"1178","一般","general, common","一般[いっぱん]","Noun","<b> 一般[いっぱん]</b>の 方[かた]はこちらの 席[せき]へどうぞ。","<b>一般</b>の方はこちらの席へどうぞ。","General seating is over here."
"1179","目的","objective, purpose","目的[もくてき]","Noun","彼[かれ]が 来[き]た<b> 目的[もくてき]</b>が 分[わ]かりません。","彼が来た<b>目的</b>が分かりません。","I don't know the purpose of his visit."
"1180","普通","normal, regular","普通[ふつう]","Adjectival Noun","彼女[かのじょ]は<b> 普通[ふつう]</b>の 女[おんな]の 子[こ]だ。","彼女は<b>普通</b>の女の子だ。","She's just a normal girl."
"1181","タオル","towel","タオル","Noun","私[わたし]は<b>タオル</b>で 顔[かお]をふいた。","私は<b>タオル</b>で顔をふいた。","I wiped my face with a towel."
"1182","並ぶ","line up, be parallel","並[なら]ぶ","Verb","ここに<b> 並[なら]んで</b>ください。","ここに<b>並んで</b>ください。","Please line up here."
"1183","並べる","line (st) up, display, set up","並[なら]べる","Verb","私[わたし]は 料理[りょうり]をテーブルに<b> 並[なら]べた</b>。","私は料理をテーブルに<b>並べた</b>。","I arranged the food on the table."
"1184","平和","peace, harmony","平和[へいわ]","Adjectival Noun","この 国[くに]は<b> 平和[へいわ]</b>です。","この国は<b>平和</b>です。","This country is peaceful."
"1185","高等学校","senior high school","高等学校[こうとうがっこう]","Noun","弟[おとうと]が<b> 高等学校[こうとうがっこう]</b>を 卒業[そつぎょう]しました。","弟が<b>高等学校</b>を卒業しました。","My little brother graduated from high school."
"1186","パチンコ","pachinko (vertical pinball)","パチンコ","Noun","彼[かれ]は 毎日[まいにち]<b>パチンコ</b>をしています。","彼は毎日<b>パチンコ</b>をしています。","He plays pachinko every day."
"1187","病院","hospital","病院[びょういん]","Noun","<b> 病院[びょういん]</b>はどこですか。","<b>病院</b>はどこですか。","Where is the hospital?"
"1188","入院","be hospitalized","入院[にゅういん]","Verbal Noun","昨日[きのう]、 母[はは]が<b> 入院[にゅういん]</b>しました。","昨日、母が<b>入院</b>しました。","My mother was hospitalized yesterday."
"1189","大学院","graduate school","大学院[だいがくいん]","Noun","彼[かれ]は<b> 大学院[だいがくいん]</b>に 進[すす]みました。","彼は<b>大学院</b>に進みました。","He's gone on to graduate school."
"1190","医者","doctor","医者[いしゃ]","Noun","私[わたし]は<b> 医者[いしゃ]</b>に 相談[そうだん]した。","私は<b>医者</b>に相談した。","I consulted the doctor."
"1191","みかん","tangerine, mandarin orange","みかん","Noun","<b>みかん</b>を 1[ひと]つください。","<b>みかん</b>を1つください。","Please give me a tangerine."
"1192","お医者さん","doctor","お 医者[いしゃ]さん","Noun","熱[ねつ]があるので<b>お 医者[いしゃ]さん</b>に 行[い]った。","熱があるので<b>お医者さん</b>に行った。","I went to the doctor because I had a fever."
"1193","歯医者","dentist","歯医者[はいしゃ]","Noun","私[わたし]は<b> 歯医者[はいしゃ]</b>が 嫌[きら]いです。","私は<b>歯医者</b>が嫌いです。","I hate the dentist."
"1194","歯","tooth, cog","歯[は]","Noun","私[わたし]の<b> 歯[は]</b>は 丈夫[じょうぶ]です。","私の<b>歯</b>は丈夫です。","My teeth are strong."
"1195","歯ブラシ","toothbrush","歯[は]ブラシ","Noun","新[あたら]しい<b> 歯[は]ブラシ</b>が 必要[ひつよう]だ。","新しい<b>歯ブラシ</b>が必要だ。","I need a new toothbrush."
"1196","ケーキ","cake","ケーキ","Noun","誕生日[たんじょうび]に<b>ケーキ</b>を 食[た]べました。","誕生日に<b>ケーキ</b>を食べました。","We ate cake on his birthday."
"1197","科学","science","科学[かがく]","Noun","<b> 科学[かがく]</b>は 常[つね]に 進歩[しんぽ]している。","<b>科学</b>は常に進歩している。","Science is always advancing."
"1198","教科書","textbook, schoolbook","教科書[きょうかしょ]","Noun","日本語[にほんご]の<b> 教科書[きょうかしょ]</b>を 忘[わす]れた。","日本語の<b>教科書</b>を忘れた。","I forgot my Japanese textbook."
"1199","理科","science","理科[りか]","Noun","私[わたし]は<b> 理科[りか]</b>が 得意[とくい]です。","私は<b>理科</b>が得意です。","I'm good at science."
"1200","亡くなる","die, pass away","亡[な]くなる","Verb","おととい、 昔[むかし]の 友人[ゆうじん]が<b> 亡[な]くなった</b>。","おととい、昔の友人が<b>亡くなった</b>。","An old friend died the day before yesterday."
"1201","コップ","cup, glass","コップ","Noun","私[わたし]は 毎朝[まいあさ]<b>コップ</b> 一杯[いっぱい]の 水[みず]を 飲[の]む。","私は毎朝<b>コップ</b>一杯の水を飲む。","I drink a glass of water every morning."
"1202","忙しい","busy, occupied","忙[いそが]しい","Adjective","<b> 忙[いそが]しい</b>ので 手伝[てつだ]ってください。","<b>忙しい</b>ので手伝ってください。","I have a lot to do, so please help me out."
"1203","疲れる","get tired, become fatigued","疲[つか]れる","Verb","私[わたし]は<b> 疲[つか]れて</b>ふらふらです。","私は<b>疲れて</b>ふらふらです。","I'm tired and feel dizzy."
"1204","禁煙","no smoking, giving up smoking","禁煙[きんえん]","Verbal Noun","彼[かれ]は 今[いま]、<b> 禁煙[きんえん]</b>しています。","彼は今、<b>禁煙</b>しています。","He's stopped smoking now."
"1205","酔っ払い","drunk person","酔[よ]っ 払[ぱら]い","Noun","彼[かれ]はただの<b> 酔[よ]っ 払[ぱら]い</b>です。","彼はただの<b>酔っ払い</b>です。","He's nothing but a drunk."
"1206","ナイロン","nylon","ナイロン","Noun","このジャケットは<b>ナイロン</b>でできています。","このジャケットは<b>ナイロン</b>でできています。","This jacket is made of nylon."
"1207","酔っ払う","get drunk","酔[よ]っ 払[ぱら]う","Verb","昨夜[ゆうべ]は<b> 酔[よ]っ 払[ぱら]いました</b>。","昨夜は<b>酔っ払いました</b>。","I got drunk last night."
"1208","危ない","dangerous, uncertain","危[あぶ]ない","Adjective","その 道[みち]は 車[くるま]が 多[おお]くて<b> 危[あぶ]ない</b>。","その道は車が多くて<b>危ない</b>。","There are many cars on that road, so it's dangerous."
"1209","危険","danger, dangerous","危険[きけん]","Adjectival Noun","その 地域[ちいき]は 今[いま]、<b> 危険[きけん]</b>だ。","その地域は今、<b>危険</b>だ。","That region is dangerous right now."
"1210","存在","existence, being","存在[そんざい]","Verbal Noun","宇宙人[うちゅうじん]は<b> 存在[そんざい]</b>すると 思[おも]いますか。","宇宙人は<b>存在</b>すると思いますか。","Do you think that aliens exist?"
"1211","スーツ","suit","スーツ","Noun","あの<b>スーツ</b>はそんなに 高[たか]くない。","あの<b>スーツ</b>はそんなに高くない。","That suit is reasonably priced."
"1212","注目","attention, notice","注目[ちゅうもく]","Verbal Noun","私[わたし]たちはその 会社[かいしゃ]に<b> 注目[ちゅうもく]</b>している。","私たちはその会社に<b>注目</b>している。","We have our eyes on that company."
"1213","注文","order, request","注文[ちゅうもん]","Verbal Noun","レストランでピザを<b> 注文[ちゅうもん]</b>しました。","レストランでピザを<b>注文</b>しました。","I ordered pizza at the restaurant."
"1214","意味","meaning, significance","意味[いみ]","Noun","それはどういう<b> 意味[いみ]</b>ですか。","それはどういう<b>意味</b>ですか。","What does that mean?"
"1215","意見","opinion","意見[いけん]","Noun","あなたの<b> 意見[いけん]</b>が 聞[き]きたいです。","あなたの<b>意見</b>が聞きたいです。","I want to hear your opinion."
"1216","チケット","ticket","チケット","Noun","この 遊園地[ゆうえんち]の<b>チケット</b>は 3000円[さんぜんえん]です。","この遊園地の<b>チケット</b>は3000円です。","The tickets for this amusement park are 3000 yen."
"1217","注意","attention, care, watch out","注意[ちゅうい]","Verbal Noun","車[くるま]に<b> 注意[ちゅうい]</b>してください。","車に<b>注意</b>してください。","Please watch out for traffic."
"1218","用意","prepare, ready oneself","用意[ようい]","Verbal Noun","食事[しょくじ]の<b> 用意[ようい]</b>ができました。","食事の<b>用意</b>ができました。","The meal is ready."
"1219","確か","for sure, for certain","確[たし]か","Adjectival Noun","彼[かれ]の 昇進[しょうしん]は<b> 確[たし]か</b>だ。","彼の昇進は<b>確か</b>だ。","He's sure to get a promotion."
"1220","確認","confirmation","確認[かくにん]","Verbal Noun","もう 一度[いちど]、 予約[よやく]を<b> 確認[かくにん]</b>した。","もう一度、予約を<b>確認</b>した。","I confirmed my reservation one more time."
"1221","チョコレート","chocolate","チョコレート","Noun","妹[いもうと]は<b>チョコレート</b>が 大好[だいす]きです。","妹は<b>チョコレート</b>が大好きです。","My little sister loves chocolate."
"1222","機能","function, feature","機能[きのう]","Verbal Noun","このソフトにはいろいろな<b> 機能[きのう]</b>があります。","このソフトにはいろいろな<b>機能</b>があります。","This software has a lot of various features."
"1223","ジェット機","jet (plane)","ジェット 機[き]","Noun","<b>ジェット 機[き]</b>が 飛[と]んでいる。","<b>ジェット機</b>が飛んでいる。","The jet plane is flying."
"1224","機械","machine","機械[きかい]","Noun","新[あたら]しい<b> 機械[きかい]</b>が 壊[こわ]れた。","新しい<b>機械</b>が壊れた。","The new machine broke."
"1225","材料","ingredients, material","材料[ざいりょう]","Noun","サラダの<b> 材料[ざいりょう]</b>をそろえました。","サラダの<b>材料</b>をそろえました。","I have all the ingredients for the salad."
"1226","チャンネル","channel","チャンネル","Noun","テレビの<b>チャンネル</b>を 変[か]えてください。","テレビの<b>チャンネル</b>を変えてください。","Please change the TV channel."
"1227","具体的","specific, concrete","具体的[ぐたいてき]","Adjectival Noun","<b> 具体的[ぐたいてき]</b>な 例[れい]をいくつか 見[み]せてください。","<b>具体的</b>な例をいくつか見せてください。","Please show me some concrete examples."
"1228","基づく","be based on","基[もと]づく","Verb","この 話[はなし]は 真実[しんじつ]に<b> 基[もと]づいています</b>。","この話は真実に<b>基づいています</b>。","This story is based on truth."
"1229","基本","basis, foundation","基本[きほん]","Noun","今[いま]、ジャズダンスの<b> 基本[きほん]</b>を 習[なら]っています。","今、ジャズダンスの<b>基本</b>を習っています。","We're learning the basics of jazz dance at the moment."
"1230","基準","standard, criteria","基準[きじゅん]","Noun","判断[はんだん]の<b> 基準[きじゅん]</b>が 示[しめ]された。","判断の<b>基準</b>が示された。","The standards of judgment were outlined."
"1231","つまらない","boring, dull","つまらない","Adjective","彼[かれ]の 話[はなし]は<b>つまらない</b>ですね。","彼の話は<b>つまらない</b>ですね。","What he's talking about is boring."
