"index","word","meaning"
"1410","Los profesores corrigen los exámenes.","The teachers are grading the exams."
"1411","Cuando los hayan corregido ellos darán las calificaciones.","After they have graded them they will give out the grades."
"1412","llamar","to call, to name"
"1413","Llamo y llamo a Rebeca pero no me responde.","I have been calling and calling Rebecca but she doesn't answer."
"1414","¡La he llamado ya diez veces!","I have already called her ten times!"
"1415","Aunque la llames veinte veces no te va a responder.","Even if you call her twenty times she is not going to answer you."
"1416","Yo me llamo Benjamín y tú ¿cómo te llamas?","My name is Benjamin and what is your name?"
"1417","El equipo se llama Las estrellas.","The team's name is The Stars."
"1418","obsequiar","to give, to flatter with, to compliment"
"1419","Pedro le obsequió a Carolina un libro muy interesante.","Peter gave Caroline a very interesting book."
"1420","Los anfitriones han obsequiado al Primer Ministro con un banquete.","The hosts have flattered the Prime Minister with a banquet."
"1421","Sus hijos le obsequiaron flores para su cumpleaños.","Her children gave her flowers for her birthday."
"1422","Le obsequiaría el auto pero es muy caro.","I would give her the car but it is very expensive."
"1423","navegar","to navigate, to sail"
"1424","Nelson se fue navegando en alta mar.","Nelson went sailing on high seas."
"1425","El buque navegaba plácidamente.","The ship was navigating placidly."
"1426","Aunque haya navegado muchas veces él siempre tiene cuidado.","Though he has navigated it many times he is still very careful."
"1427","Jazmín y Lucía desean navegar por el Mar Rojo.","Jasmine and Lucy wish to navigate through the Red Sea."
"1428","escribir","to write"
"1429","Ana Laura hubiese escrito las cartas pero se le olvidó.","Ana Laura would have written the letters but she forgot to do it."
"1430","La reportera escribía el artículo cuando su jefe entró.","The reporter was writing the article when her boss came in."
"1431","Fue necesario que el escritor escribiera el discurso del presidente.","It was necessary for the writer to write the president's speech."
"1432","atacar","to attack, to assault, to contradict"
"1433","Los soldados atacaban la ciudad cuando llegaron los refuerzos.","The soldiers were attacking the city when help arrived."
"1434","Es importante que no ataquemos a los animales.","It is important that we do not attack the animals."
"1435","Los jugadores se atacan muy reciamente en el fútbol americano.","In football the players attack each other very strongly."
"1436","depositar","to deposit, to place, to entrust"
"1437","Sandra estaba depositando el dinero cuando el banco cerró.","Sandra was depositing the money when the bank closed."
"1438","Ella depositó toda su confianza en su amiga.","She placed all her trust in her friend."
"1439","Hemos depositado el dinero para comprar el coche.","We have deposited the money to buy the car."
"1440","Estaban depositando el boleto de la rifa cuando los vi.","They were depositing the raffle ticket when I saw them."
"1441","responder","to respond, to answer"
"1442","Delia no responde a mis llamadas.","Delia doesn't answer my calls."
"1443","Los padres respondieron con su asistencia a la reunión.","The parents responded by attending the meeting."
"1444","¡Responda la pregunta!","Answer the question!"
"1445","El alumno no ha respondido la pregunta.","The student has not answered the question."
"1446","Habría respondido la carta a tiempo pero se me perdió.","I would have answered the letter on time but I lost it."
"1447","evaluar","to evaluate, to assess, to grade"
"1448","El analista ha evaluado el local por cinco millones de euros.","The analyst has evaluated the site for five million euros."
"1449","La profesora evaluará las pruebas mañana.","The teacher will grade the tests tomorrow."
"1450","Las gemas han sido evaluadas en un alto precio.","The gems have been evaluated at a high price."
"1451","sostener","to hold, to support, to stand"
"1452","Las columnas sostienen el techo.","The columns support the roof."
"1453","La madre sostuvo al bebe en sus brazos.","The mother held the baby in her arms."
"1454","El muro está sosteniendo el agua del río.","The dam is holding back the water of the river."
"1455","Él ha sostenido esas ideas por mucho tiempo.","He has held those ideas for a long time."
"1456","Laura se sostiene a sí misma trabajando como programadora.","Laura supports herself working as a programmer."
"1457","acercarse","to draw near, to approach"
"1458","El novio se acercó a su novia y la abrazó.","The groom approached his bride and gave her a hug."
"1459","Compraré los regalos cuando la Navidad se acerque.","I will buy the gifts when Christmas draws closer."
"1460","Me hubiese acercado al precipicio pero me dio miedo.","I would have gotten closer to the cliff but I was afraid."
"1461","Cuando el artista se acerque tú le hablas.","When the artist gets closer you talk to him."
"1462","No acerquen tanto el carro a la cochera por favor.","Don't bring the car so close to the garage please."
"1463","contradecir","to contradict, to oppose, to contradict oneself"
"1464","No le hubiese contradicho pero yo tenía la razón.","I wouldn't have contradicted him but I was right."
"1465","¿Por qué me contradices todo lo que digo?","Why do you contradict everything I say?"
"1466","El culpable se contradijo en su testimonio.","The guilty man contradicted himself in his testimony."
"1467","El abogado la contradecirá en todo lo que pueda.","The lawyer will contradict her in everything he can."
"1468","llorar","to cry, to weep"
"1469","Ellos lloraron de alegría al ver a su bebé caminar.","They cried happily when they saw their baby walking."
"1470","Ella estaba llorando porque el novio la dejó.","She was crying because her boyfriend left her."
"1471","Había llorado toda la noche.","She had cried all night long."
"1472","Lloró hasta que se cansó.","She cried herself to sleep."
"1473","afeitarse","to shave oneself"
"1474","Francisco estaba afeitándose cuando Beto lo llamó.","Frank was shaving when Beto called him."
"1475","Mis amigos se afeitan todos los días.","My friends shave themselves every day."
"1476","Ellas se han afeitado las piernas por muchos años.","They (females) have shaved their legs for many years."
"1477","Los muchachos están afeitando al perro ahora.","The boys are shaving the dog now."
"1478","Los miembros del equipo siempre afeitan las cabezas de los novatos.","The team members always shave the rookies' heads."
"1479","destruir","to destroy, to ruin"
"1480","Los libros de Alejandra fueron destruidos en el incendio.","The fire destroyed Alexandra's books."
"1481","Mayela ya había destruido las cartas cuando su papá entró.","Mayela had already destroyed the letters when her father entered."
"1482","El muchacho destruyó su futuro al usar drogas.","The young man destroyed his future because of drug abuse."
"1483","dedicarse","to devote oneself, to"
"1484","Mi esposo quiere que me dedique a la familia.","My husband wants me to dedicate myself to the family."
"1485","Esta mañana nos hemos dedicado a sembrar flores.","This morning we have devoted ourselves to planting flowers."
"1486","Les dedico este libro a mis padres.","I dedicate this book to my parents."
"1487","Ellos han dedicado el monumento al libertador de la patria.","They have dedicated the monument to the liberator of the country."
"1488","estimar","to estimate, to value, to respect"
"1489","Cristóbal Colón estimaba llegar al oriente navegando hacia occidente.","Christopher Columbus estimated to arrive in the east by navigating through the west."
"1490","Los inspectores habían estimado los daños en siete mil euros.","The inspectors had estimated the damages to be seven thousand euros."
"1491","La estiman mucho en su trabajo.","She is highly respected at work."
"1492","soñar","to dream, to dream of"
"1493","Sueño con ir a España con mis estudiantes.","I dream of going to Spain with my students."
"1494","Cristina soñó con su abuelita anoche.","Last night Christina dreamed of her dear grandmother."
"1495","Ella había soñado con tener hijos.","She had dreamed of having children."
"1496","¡Sueña en tu futuro!","Dream of your future!"
"1497","Ella siempre está soñando en clase.","She is always daydreaming in class."
"1498","El soñar no cuesta nada.","It doesn't cost anything to dream."
"1499","¡Ni soñarlo! / ¡Ni lo sueñes!","Don't dream about it!"
"1500","cabalgar","to ride (a horse)"
"1501","Las damas cabalgaban en los desfiles.","The ladies used to ride horses in the parades."
"1502","Susana siempre cabalga con su suegro.","Susan always rides horses with her father-in-law."
"1503","Lidia está cabalgando desde los cinco años de edad.","Lydia has been riding horses since she was five years old."
"1504","Si el niño cabalgara en los hombros de su papá no estaría tan cansado.","If the little boy were riding on his father's shoulders he wouldn't be so tired."
"1505","colocar","to put, to place, to situate"
"1506","Coloqué esta pintura aquí porque se ve mejor.","I put this painting here because it looks better."
"1507","La hubieran colocado de decoradora pero ella no quiso.","They would have placed her as a decorator but she didn't want to be a decorator."
"1508","El soldado colocaba los cañones cautelosamente.","The soldier was placing the cannons cautiously."
"1509","equivocarse","to make a mistake, to be mistaken"
"1510","Se han equivocado al juzgarla.","They have made a mistake in judging her."
"1511","Me equivocaré más si no presto atención.","I would make more mistakes if I don't pay attention."
"1512","Aunque te equivoques sigue adelante.","Even if you make mistakes keep on going."
"1513","Es mejor equivocarse que no arriesgarse.","It is better to make a mistake than never to try at all"
"1514","charlar","to chat, to converse"
"1515","El vendedor charló con el cliente hasta que consiguió la venta.","The salesman chatted with the client until he made the sale."
"1516","Alfredo charla con sus hermanos en el Internet hasta la media noche.","Alfred chats with his brothers in the internet until midnight."
"1517","Las estudiantes estaban charlando cuando la profesora entró.","The students were chatting when the teacher came in."
"1518","Si charlaras menos por teléfono te rendiría más el trabajo.","If you would talk less on the phone your work would be more productive."
"1519","acordarse","to remember"
"1520","Es necesario que nos acordemos de nuestros viejos amigos.","It is necessary to remember our old friends."
"1521","Me acordaré de su cumpleaños si escribo una notita.","I will remember her birthday if I write myself a note."
"1522","Acuérdate de devolver los libros a la biblioteca.","Remember to return the books to the library."
"1523","¿No te acordaste de lo que te pedí?","Didn't you remember what I asked you?"
"1524","devolver","to return, to refund, to come back"
"1525","Los estudiantes han devuelto los libros a la biblioteca.","The students have returned the books to the library."
"1526","Yo hubiese devuelto los zapatos pero me gustaban mucho.","I would have returned the shoes but I liked them a lot."
"1527","Nos devolvimos de casa de Roxana porque no estaba allí.","We came back from Roxanna's house because she wasn't there."
"1528","No te devuelvas sin traer el dinero.","Don't come back without bringing the money."
"1529","revisar","to revise, to examine, to inspect, to check, to audit"
"1530","El electricista revisó las conexiones eléctricas.","The electrician inspected the electric connections."
"1531","Benjamín ha revisado los libros para ver si están en buenas condiciones.","Benjamin has checked the books to see if they are in good condition."
"1532","En la aduana están revisando las maletas minuciosamente.","Customs is inspecting the luggage thoroughly."
"1533","El inspector deseaba que yo revisara todo el equipo.","The inspector wanted me to examine all the equipment."
"1534","mostrar","to show, to display"
"1535","¡Mostrad los discos compactos!","Show the compact discs!"
"1536","La vendedora había mostrado toda la mercancía.","The seller had shown all her merchandise."
"1537","¡Muéstrame en qué me he equivocado!","Show me where I have made the mistake!"
"1538","Ellos se mostraron muy amigables.","They showed themselves to be very friendly."
"1539","Te mostraste muy interesado en el problema.","You showed yourself to be very interested in the problem."
"1540","ser","to be"
"1541","¿De dónde son Ustedes?","Where are you from?"
"1542","Yo soy de Guatemala y ella es de Panamá.","I am from Guatemala and she is from Panama."
"1543","Cómo es Carolina?","How is Caroline?"
"1544","Carolina es bajita, rubia y muy simpática.","Caroline is short, blonde and very nice."
"1545","¿Es casada o soltera?","Is she married or single?"
"1546","La fiesta fue en casa del profesor de español.","The party was at the Spanish teacher's home."
"1547","¿Qué hora era cuando llegaste?","What time was it when you came in?"
"1548","Eran las tres.","It was three o'clock."
"1549","Hoy es viernes.","Today is Friday."
"1550","Es el primero de mayo.","It is the first of May."
"1551","Si fuera maestra no daría tantas tareas para la casa.","If I were a teacher I wouldn't assign so much homework."
"1552","encerrar","to enclose, to lock up"
"1553","Por fin lo encerraron en la cárcel.","Finally they locked him up in jail."
"1554","Lo habrían encerrado antes pero esperaban su juicio.","He would have been jailed sooner but they were waiting on the verdict."
"1555","Ella se encerraba en su trabajo por días.","She used to lock herself up in her work for days."
"1556","hervir","to boil"
"1557","El agua hierve a 100° C.","Water boils at 100° C (212° F)."
"1558","¿Qué estabas hirviendo?","What were you boiling?"
"1559","Estaba hirviendo los huevos para la ensalada.","I was boiling the eggs for the salad."
"1560","Los hubiera hervido por más tiempo pero estaba apurada.","I would have boiled them longer but I was in a rush."
"1561","Hervirle la sangre.","To be very angry."
"1562","pegar","to hit, to beat, to glue"
"1563","¡No le pegues al perro Felipe!","Don't hit the dog Philip!"
"1564","El boxeador le hubiese pegado más fuerte pero se contuvo.","The boxer would have beaten him harder but he held himself back."
"1565","Los empleados han pegado las estampillas a todas las cartas.","The employees had glued the stamps to the letters."
"1566","Tan pronto como los niños peguen las calcomanías saldrán al parque.","As soon as the children glue the stickers they will go to the park."
"1567","robar","to steal"
"1568","Robaron el banco.","The bank has been robbed."
"1569","Un ladrón estaba robando una casa cuando lo agarraron.","A thief was caught robbing a house."
"1570","Si le robaran el examen a la profesora no tendríamos que presentarlo.","If the test were to be stolen from the teacher we wouldn't have to take the test."
"1571","Juan Carlos le ha robado el corazón a Rosa.","John Charles has stolen Rose's heart."
"1572","atreverse","to dare, to venture"
"1573","¡No te atrevas a decir eso!","Don't you dare say that!"
"1574","Los astronautas se atrevieron a ir a la luna.","The astronauts dared to go to the moon."
"1575","Cristóbal Colón se atrevió a navegar el océano Atlántico.","Christopher Columbus ventured to navigate the Atlantic Ocean."
"1576","maquillarse","to put on makeup"
"1577","¡Esperen no se maquillen todavía!","Wait! Don't put on your makeup yet."
"1578","Las animadoras se maquillaban para verse más bonitas.","The cheerleaders were putting on makeup to look prettier."
"1579","Me habría maquillado esta mañana pero estaba apurada.","I would have put makeup on this morning but I was rushing."
"1580","¿Podrás maquillarte en cinco minutos?","Can you put on makeup in five minutes?"
"1581","La maquilladora maquilla a las actrices.","The makeup artist puts makeup on the actresses."
"1582","conseguir","to get, to obtain, to succeed"
"1583","Inés consigue lo que se propone.","Inez gets whatever she sets her mind to."
"1584","Nosotros conseguiremos nuestras metas si trabajamos duro.","We will obtain our goals if we work hard."
"1585","Ella ha conseguido graduarse de abogada.","She has succeeded in becoming a lawyer."
"1586","agrandar","to enlarge, to make larger, to increase"
"1587","El diseñador ha agrandado sus tiendas.","The designer has increased the size of his stores."
"1588","Apenas habíamos agrandado el cuarto cuando el niño llegó.","We had just enlarged the room when the little boy arrived."
"1589","Esperamos que el jardinero haya agrandado nuestro jardín.","We hope the gardener has increased the size of our garden."
"1590","Si tuviera dinero agrandaría la oficina.","If I had the money I would enlarge the office."
"1591","reanudar","to resume, to renew"
"1592","Serrano y Segovia reanudaron sus relaciones comerciales.","Serrano and Segovia resumed their commercial relations."
"1593","Reanudarán las clases tan pronto como terminen el edifico.","Classes will be resumed as soon as the building is finished."
"1594","Los delegados han reanudado las conversaciones de paz.","The delegates have resumed the peace talks."
"1595","Se hubiera reanudado el acuerdo pero el balance comercial no era justo.","The treaty would have been renewed but the balance of trade was not fair."
"1596","citar","to make an appointment, to quote, to summon"
"1597","El jurado la citó para las once.","The jury summoned her at eleven o'clock."
"1598","Cito a mis estudiantes para discutir sus notas.","I make an appointment with my students to discuss their grades."
"1599","Citaremos al abogado para consultarlo.","We will make an appointment with the lawyer to see him."
"1600","Ese autor siempre citaba filósofos famosos.","That author always quoted famous philosophers."
"1601","influir","to influence"
"1602","Los medios de comunicación influyen mucho en la opinión pública.","The media influences public opinion a lot."
"1603","El deseo de sus padres ha influido en su decisión de estudiar medicina.","His parent's desire has influenced his decision to study medicine."
"1604","La paz había influido en la prosperidad del país.","Peace influenced the prosperity of the country."
"1605","referirse","to refer, to mean, to relate"
"1606","¿Sabes a qué me refiero?","Do you know what I am referring to?"
"1607","Norma se refería al problema de los padres divorciados.","Norma was referring to the problem of the divorced parents."
"1608","El autor estaba refiriéndose a los otros libros que ha escrito.","The author was referring to the other books he has written."
"1609","Ya ellos nos habían referido lo sucedido.","They had already told us what happened."
"1610","huir","to escape, to flee, to run away"
"1611","Cien presos huyeron de la cárcel.","One hundred prisoners escaped from the prison."
"1612","Quizás hayan huido lejos pero los atraparán pronto.","Perhaps they have run far away, but they will be caught soon."
"1613","Los pobres hombres estaban huyendo de la pobreza en su país.","The poor men were fleeing from the poverty of their country."
"1614","extraer","to extract, to take out"
"1615","Han extraído mucho petróleo del Lago de Maracaibo.","They have extracted a lot of oil from the Maracaibo basin."
"1616","Las compañías habrían extraído más pero limitaron la exploración.","The oil companies would have extracted more oil but explorations were limited."
"1617","Le extrajeron una muela al niño.","The boy's tooth was pulled out."
"1618","morir","to die"
"1619","Muchas personas murieron en el accidente aéreo.","Many people died in the airplane accident."
"1620","Se están muriendo mis flores.","My flowers are dying."
"1621","El pájaro ha muerto de frío.","The bird had died because of the cold."
"1622","Las muchachas se morían por José Raphael.","The girls were crazy about Jose Raphael."
"1623","Me moría por ir a su concierto.","I was yearning (dying) to go to his concert."
"1624","becar","to award or grant a scholarship or fellowship"
"1625","El gobierno está becando a muchos estudiantes.","The government is giving scholarships to many students."
"1626","Él ha sido becado por su compañía.","His company has awarded him a scholarship."
"1627","La universidad la becó para estudiar Astrofísica.","The University granted her a scholarship to study Astrophysics."
"1628","divertirse","to have a good time, to amuse"
"1629","Nos divertíamos jugando a las canicas.","We used to have a good time playing marbles."
"1630","¿Os habéis divertido en el cine?","Have you all had a good time at the movies?"
"1631","Ellas estaban divirtiéndose en el club mientras los esposos trabajaban.","They were having fun at the club while their husbands were working."
"1632","El payaso divirtió a los niños.","The clown entertained the children."
"1633","oponerse","to oppose, to object, to be opposed, to"
"1634","Me opongo a lo que Peggy dijo.","I object to what Peggy said."
"1635","Aunque me oponga a sus ideas ella hará lo que quiere.","Even if I oppose her ideas she will do what she wants."
"1636","Se opusieron a trabajar en el día de fiesta.","They were opposed to working on the holiday."
"1637","El Congreso está oponiéndose al cambio de ciertas leyes.","Congress is opposing the change of certain laws."
"1638","Sara se había opuesto a tomar la clase de matemáticas.","Sara had been opposed to taking the Math class."
"1639","haber","to have"
"1640","He estudiado toda la tarde.","I have studied all afternoon."
"1641","Yo hubiese ido pero estaba ocupada.","I would have gone but I was busy."
"1642","Ella ya había visto esa película.","She had already seen that movie."
"1643","tostar","to toast, to roast, to tan"
"1644","Ellos siempre tuestan el pan para el desayuno.","They always toast the bread for breakfast."
"1645","El manicero está tostando el maní.","The peanut vendor is roasting the peanuts."
"1646","Es bueno que Usted tueste las nueces.","It is good that you roast the nuts."
"1647","Esa muchacha se ha tostado demasiado.","That young girl has tanned herself too much."
"1648","fumar","to smoke"
"1649","El fumador está fumando un cigarro.","The smoker is smoking a cigar."
"1650","Yo nunca fumaría.","I would never smoke."
"1651","Aunque ellos hayan fumado antes ahora no fuman.","Though they have smoked before they don't smoke now."
"1652","abandonar","to leave, to abandon, to quit"
"1653","Él abandonaría todo por el amor de ella.","He would leave everything for her love."
"1654","¡No abandonéis a vuestras mascotas!","Don't abandon your pets!"
"1655","¡Después de tres años Juan y Miguel han abandonado sus estudios!","After three years Juan and Miguel have abandoned their careers!"
"1656","Habían abandonado el proyecto pero lo empezaron de nuevo.","They had quit the project but they restarted it again."
"1657","salvar","to save (someone or something), to rescue"
"1658","Los salvavidas de las piscinas salvan a muchos niños.","The lifeguards of the swimming pools save many children."
"1659","Los bomberos salvaron a toda la familia del incendio.","The firefighters rescued the whole family from the fire."
"1660","Los jóvenes se habrían salvado si se hubieran puesto el cinturón de seguridad.","The young men would have been saved if they had worn seat belts."
"1661","Se hubiese salvado si hubiera sabido nadar.","He would have been saved if he had known how to swim."
"1662","¡Sálvese el que pueda!","Every man for himself!"
"1663","demandar","to demand, to claim, to request"
"1664","Los viajeros están demandando mejores servicios.","The travelers are demanding better services."
"1665","Han demandado al dueño de la mueblería.","They have filed suit against the owner of the furniture store."
"1666","Los niños demandan atención y cariño.","Children require attention and love."
"1667","Me siento orgulloso que ella demande sus derechos.","It makes me proud that she demands her rights."
"1668","contribuir","to contribute"
"1669","Es mejor que él contribuya con su tiempo.","It is better that he contribute with his time."
"1670","Yo estoy contribuyendo con cien mil euros.","I am contributing with one hundred thousand euros."
"1671","¿Con cuánto habías contribuido tú?","How much money had you contributed?"
"1672","Mi abuelito contribuyó mucho en mi vida.","My grandfather contributed much to my life."
"1673","subir","to climb, to go up"
"1674","Los exploradores subieron la montaña más alta.","The explorers climbed the highest mountain."
"1675","Ellos estaban subiendo las escaleras cuando los vi.","They were climbing the stairs when I saw them."
"1676","Han subido los precios de los alimentos.","The food prices have gone up."
"1677","¡No te subas al árbol!","Don't climb on the tree!"
"1678","negar","to deny"
"1679","El reo negó las acusaciones.","The criminal denied the accusations."
"1680","Sé que ella niega sus errores.","I know that she denies her wrongdoings."
"1681","No negaría sus errores si fuera más honesta.","She wouldn't deny her mistakes if she were more honest."
"1682","El niño se negaba a comer.","The child refused to eat."
"1683","Me niego a escuchar esa música.","I refuse to listen to that music."
"1684","agitar","to agitate, to shake, to wave, to stir"
"1685","Los astronautas agitaron la bandera en la luna.","The astronauts waved the flag on the moon."
"1686","Las olas agitaban el barco violentamente.","The waves were shaking the ship violently."
"1687","¡No agiten la solución!","Don't agitate the solution!"
"1688","Puede explotar.","It can explode."
"1689","¡No te agites!","Don't get agitated!"
"1690","marchar","to pace, to stride, to go on"
"1691","El líder del sindicato marchó en la manifestación.","The leader of the union marched in the demonstration."
"1692","El policía recomendó que marcharan por el otro lado.","The policeman suggested that they march on the other side (of the road)."
"1693","Diego habría marchado con los soldados si no hubiera estado enfermo.","Diego would have marched with the soldiers if he had not been sick."
"1694","Se marcharon tan pronto terminó la fiesta.","They left as soon as the party ended."
"1695","Nos hubiésemos marchado temprano pero la fiesta estaba muy buena.","We would have left earlier but the party was very nice."
"1696","madrugar","to get up early, to be ahead"
"1697","Madrugamos para comprar los boletos del concierto de José Rafael.","We got up early to buy the tickets for Jose Raphael's concert."
"1698","Madrugaremos para salir temprano.","We will get up early so we can leave early."
"1699","No madrugues mañana querido, estás de vacaciones.","Don't get up early tomorrow dear, you are on vacation."
"1700","Él siempre madrugaba cuando estudiaba en la universidad.","He always got up early when he was studying at the university."
"1701","Al que madruga Dios le ayuda.","The early bird catches the worm. (God helps those who get up early.)"
"1702","aguardar","to wait for, to expect"
"1703","Las mujeres aguardaban ansiosas en el andén.","The women were waiting anxiously at the train platform."
"1704","Estábamos aguardando a mis padres cuando el espectáculo empezó.","We were waiting for my parents when the show started."
"1705","Habríamos aguardado más pero estábamos muy cansados.","We could have waited more but we were very tired."
"1706","Los niños aguardaron pacientemente por su mamá.","The children waited patiently for their mother."
"1707","adoptar","to adopt"
"1708","La pareja adoptó dos niñas.","The couple adopted two girls."
"1709","La compañía está adoptando nuevas disposiciones.","The company is adopting new regulations."
"1710","Si los países hubiesen adoptado leyes de protección a los océanos hoy estarían menos contaminados.","If the countries had adopted laws to protect the oceans they would be less contaminated."
"1711","Han adoptado unas nuevas normas en la oficina.","The have adopted new norms at the office."
"1712","botar","to throw away, to cast off, to fire"
"1713","Los excursionistas cuidadosos botan la basura en el basurero.","The conscientious hikers throw the trash in the trashcans."
"1714","¡No boten los desperdicios en la calle!","Don't throw the trash on the streets."
"1715","Lo han botado del trabajo sin previo aviso.","They have fired him without warning."
"1716","Es necesario que ellos boten toda su ropa vieja.","It is necessary that they throw away all their old clothes."
"1717","confundirse","to mix up, to mistake, to be confused"
"1718","El estudiante se confundió explicando el problema.","The student got confused while explaining the problem."
"1719","Me confunden todos estos problemas.","All these problems confuse me."
"1720","Nos habíamos confundido y casi nos perdíamos.","We got confused and we almost got lost."
"1721","A Natalie la confundieron con Patricia.","Natalie was mistaken for Patricia."
"1722","acomodar","to accommodate, to arrange, to employ"
"1723","Marianela acomoda su cuarto todo el tiempo.","Marianela arranges her room all the time."
"1724","La familia acomodó a sus huéspedes cómodamente.","The family accommodated its guests comfortably."
"1725","Lo acomodaron de carnicero en el abasto.","They placed him as a butcher at the grocery store."
"1726","Acomodemos los libros del estante.","Let's arrange the books on the bookshelf."
"1727","llenar","to fill, to fill up"
"1728","Llena la jarra con agua por favor.","Fill the pitcher with water please."
"1729","Es necesario que llenemos el tanque con gasolina antes de partir.","It is necessary that we fill the tank with gas before leaving."
"1730","Si lo llenamos ahora no tenemos que hacerlo más tarde.","If we fill it now we don't have to do it later on."
"1731","Llené todos los requisitos que exigen.","I met all the requirements they ask for."
"1732","velar","to watch over, to guard, to keep vigil"
"1733","El corredor de la bolsa vela por los intereses de sus clientes.","The stockbroker watches over the investments of his customers."
"1734","La enfermera velaba por la salud del enfermo.","The nurse was keeping vigil over the sick man."
"1735","La policía siempre ha velado por la seguridad de la ciudadanía.","The police force has always guarded the security of the people."
"1736","Si velaras más por tus valores no tendrías tantas pérdidas.","If you were to watch over your stocks more you wouldn't have so many losses."
"1737","obligar","to oblige, to force, to make, to compel"
"1738","El contrato le obliga a vender su casa.","The contract forces him to sell the house."
"1739","Todos los días Elisa obligaba a Carlos a ir al colegio.","Elisa used to force Carlos to go to school everyday."
"1740","Las normas del instituto han obligado a usar el uniforme desde 1980.","The rules of the academy have required the use of the uniform since 1980."
"1741","Aunque lo hubieran obligado no lo habría hecho.","Even if they had forced him he wouldn't have done it."
"1742","respetar","to respect, to honor, to revere"
"1743","Hay que respetar la autoridad.","One has to respect authority."
"1744","Siempre hemos respetado a los mayores.","We have always honored the elderly."
"1745","Los concursantes estaban respetando las reglas del concurso.","The participants were respecting the contest's rules."
"1746","Respeta para que te respeten.","Show respect so respect can be shown to you."
"1747","cocinar","to cook"
"1748","Mi abuelita ha cocinado tamales para Navidad.","My grandma has cooked tamales for Christmas."
"1749","La cocinera nos cocinaba todo lo que queríamos.","The cook cooked every thing we wanted."
"1750","Mi papá estaba cocinando cuando se le derramó la olla.","My father was cooking when the pan spilled over."
"1751","¡Ojalá que mi mamá cocine mi plato favorito!","I hope my mom has cooked my favorite dish."
"1752","yacer","to lie, to lie buried, to rest"
"1753","La actriz yacía perezosamente sobre el diván rojo.","The actress was lying down lazily on the red sofa."
"1754","¡No yazcas en la paja Carlos!","Don't lie on the hay Charles!"
"1755","Aquí yace sepultado don Marín.","Here lies buried Mr Marin."
"1756","Las ciudades ricas yacen a orillas de ríos.","Rich cities lie on the banks of rivers."
"1757","transferir","to transfer, to differ"
"1758","Él está transfiriendo su dinero a un banco en Europa.","He is transferring his money to a bank in Europe."
"1759","El dinero fue transferido electrónicamente.","The money was transferred electronically."
"1760","Nancy ha transferido todos los disfraces a la nueva tienda.","Nancy has transferred all the costumes to the new store."
"1761","El banquero habría transferido el dinero pero las computadoras no funcionaban.","The banker would have transferred the money but the computers were down."
"1762","soportar","to put up with, to bear, to suffer"
"1763","Los padres soportan los arrebatos de los hijos.","The parents put up with the children's tantrums."
"1764","Lo soporté por unos meses nada más.","I put up with him for a few months only."
"1765","No soportábamos estar en ese hotel.","We couldn't bear to be in that hotel."
"1766","Si hubiera soportado el calor habría visitado la pirámide.","If I could have put up with the heat I would have visited the pyramid."
"1767","ejercer","to practice a profession or a trade, to exert"
"1768","Olga es ingeniera pero no ha ejercido la profesión desde 1990.","Olga is an engineer but she hasn't practiced her profession since 1990."
"1769","Mire y Miguel ejercen la medicina.","Mire and Michael practice medicine."
"1770","Si no fuese por los padres la televisión habría ejercido más control sobre los niños.","If it weren't because of the parents television would have exercised more influence over the children."
"1771","nadar","to swim"
"1772","Los niños nadaron todo el día.","The children swam all day."
"1773","Ellos nadaban corrían y comían.","They were swimming running and eating."
"1774","Si nadara bien rompería olas en Hawai.","If I knew how to swim well I would surf the waves in Hawaii."
"1775","¿Nadarás mañana?","Are you swimming tomorrow?"
"1776","Ellos nadan en la abundancia.","They are rolling in money."
"1777","zambullirse","to dive, to plunge into water, to hide"
"1778","Los buzos se zambullen en los océanos buscando tesoros.","The divers plunge into the ocean looking for treasures."
"1779","Los muchachos estaban zabulléndose en la piscina.","The children were diving in the swimming pool."
"1780","Yo también me habría zambullido pero acababa de almorzar.","I would have gone diving too but I had just finished eating lunch."
"1781","Ella estaba zambullida en la lectura de Romeo y Julieta.","She dived into the reading of Romeo and Juliet."
"1782","aprender","to learn"
"1783","Ellas aprendieron francés cuando tenían cinco años.","They learned French when they were five years old."
"1784","Mami está aprendiendo a cocinar comida mejicana.","Mami is learning to cook Mexican food."
"1785","Mis padres quieren que aprenda español bien.","My parents want me to learn to speak Spanish well."
"1786","Aprenderían más si estudiaran más.","They would learn more if they studied more."
"1787","Aprender de memoria.","To learn by heart."
"1788","visitar","to visit"
"1789","Visitamos a nuestros amigos anoche.","We visited our friends last night."
"1790","Visitaremos las ruinas de la cultura maya la próxima primavera.","We will visit the Mayan ruins next spring."
"1791","Es importante que visitemos a nuestros abuelos frecuentemente.","It is important that we visit our grandparents often."
"1792","Si hubiese visitado el museo habría visto las nuevas pinturas.","If I had visited the museum I would have seen the new paintings."
"1793","Visita a un amigo que esté enfermo.","Visit a sick friend."
"1794","zafar","to loosen, to escape, to untie, to get away"
"1795","Finalmente zafamos el collar del perro.","Finally we loosened the dog's collar."
"1796","El pescador había zafado las sogas de la barca.","The fisherman had loosened the ropes of the boat."
"1797","Juanito se zafó de su mamá pero ella lo atajó.","Johnny got away from his mother but she stopped him."
